"from","to","dep.var.id","wave","sim","model","ord"
"V1",NA,NA,1,1,"jttsx2",5
"V2",NA,NA,1,1,"jttsx2",5
"V3","V105",1,1,1,"jttsx2",5
"V4","V6",1,1,1,"jttsx2",5
"V4","V128",1,1,1,"jttsx2",5
"V5","V9",1,1,1,"jttsx2",5
"V6","V37",1,1,1,"jttsx2",5
"V6","V137",1,1,1,"jttsx2",5
"V7","V107",1,1,1,"jttsx2",5
"V8",NA,NA,1,1,"jttsx2",5
"V9","V5",1,1,1,"jttsx2",5
"V9","V134",1,1,1,"jttsx2",5
"V10",NA,NA,1,1,"jttsx2",5
"V11",NA,NA,1,1,"jttsx2",5
"V12",NA,NA,1,1,"jttsx2",5
"V13",NA,NA,1,1,"jttsx2",5
"V14",NA,NA,1,1,"jttsx2",5
"V15",NA,NA,1,1,"jttsx2",5
"V16","V108",1,1,1,"jttsx2",5
"V17","V36",1,1,1,"jttsx2",5
"V18","V17",1,1,1,"jttsx2",5
"V19","V40",1,1,1,"jttsx2",5
"V20","V88",1,1,1,"jttsx2",5
"V21","V23",1,1,1,"jttsx2",5
"V22",NA,NA,1,1,"jttsx2",5
"V23","V25",1,1,1,"jttsx2",5
"V23","V39",1,1,1,"jttsx2",5
"V23","V40",1,1,1,"jttsx2",5
"V24","V34",1,1,1,"jttsx2",5
"V25","V23",1,1,1,"jttsx2",5
"V25","V147",1,1,1,"jttsx2",5
"V26","V53",1,1,1,"jttsx2",5
"V27","V129",1,1,1,"jttsx2",5
"V28",NA,NA,1,1,"jttsx2",5
"V29","V30",1,1,1,"jttsx2",5
"V30","V29",1,1,1,"jttsx2",5
"V31",NA,NA,1,1,"jttsx2",5
"V32","V47",1,1,1,"jttsx2",5
"V33","V61",1,1,1,"jttsx2",5
"V33","V100",1,1,1,"jttsx2",5
"V33","V129",1,1,1,"jttsx2",5
"V34","V24",1,1,1,"jttsx2",5
"V35","V107",1,1,1,"jttsx2",5
"V36","V17",1,1,1,"jttsx2",5
"V37","V1",1,1,1,"jttsx2",5
"V37","V6",1,1,1,"jttsx2",5
"V37","V137",1,1,1,"jttsx2",5
"V38","V142",1,1,1,"jttsx2",5
"V39","V23",1,1,1,"jttsx2",5
"V39","V25",1,1,1,"jttsx2",5
"V39","V140",1,1,1,"jttsx2",5
"V40","V23",1,1,1,"jttsx2",5
"V40","V140",1,1,1,"jttsx2",5
"V41",NA,NA,1,1,"jttsx2",5
"V42",NA,NA,1,1,"jttsx2",5
"V43",NA,NA,1,1,"jttsx2",5
"V44",NA,NA,1,1,"jttsx2",5
"V45",NA,NA,1,1,"jttsx2",5
"V46","V44",1,1,1,"jttsx2",5
"V46","V140",1,1,1,"jttsx2",5
"V47","V32",1,1,1,"jttsx2",5
"V48","V118",1,1,1,"jttsx2",5
"V49","V82",1,1,1,"jttsx2",5
