"from","to","dep.var.id","wave","sim","model","ord"
"V1",NA,NA,1,-1,"altreciprocity0",5
"V2",NA,NA,1,-1,"altreciprocity0",5
"V3",NA,NA,1,-1,"altreciprocity0",5
"V4","V128",1,1,-1,"altreciprocity0",5
"V5","V33",1,1,-1,"altreciprocity0",5
"V6","V4",1,1,-1,"altreciprocity0",5
"V7",NA,NA,1,-1,"altreciprocity0",5
"V8",NA,NA,1,-1,"altreciprocity0",5
"V9","V76",1,1,-1,"altreciprocity0",5
"V10",NA,NA,1,-1,"altreciprocity0",5
"V11",NA,NA,1,-1,"altreciprocity0",5
"V12","V141",1,1,-1,"altreciprocity0",5
"V13","V120",1,1,-1,"altreciprocity0",5
"V13","V145",1,1,-1,"altreciprocity0",5
"V14","V60",1,1,-1,"altreciprocity0",5
"V15",NA,NA,1,-1,"altreciprocity0",5
"V16",NA,NA,1,-1,"altreciprocity0",5
"V17",NA,NA,1,-1,"altreciprocity0",5
"V18",NA,NA,1,-1,"altreciprocity0",5
"V19",NA,NA,1,-1,"altreciprocity0",5
"V20","V110",1,1,-1,"altreciprocity0",5
"V21","V154",1,1,-1,"altreciprocity0",5
"V22",NA,NA,1,-1,"altreciprocity0",5
"V23","V55",1,1,-1,"altreciprocity0",5
"V24","V56",1,1,-1,"altreciprocity0",5
"V25","V23",1,1,-1,"altreciprocity0",5
"V26",NA,NA,1,-1,"altreciprocity0",5
"V27","V83",1,1,-1,"altreciprocity0",5
"V28","V58",1,1,-1,"altreciprocity0",5
"V29",NA,NA,1,-1,"altreciprocity0",5
"V30","V146",1,1,-1,"altreciprocity0",5
"V31",NA,NA,1,-1,"altreciprocity0",5
"V32",NA,NA,1,-1,"altreciprocity0",5
"V33","V100",1,1,-1,"altreciprocity0",5
"V34",NA,NA,1,-1,"altreciprocity0",5
"V35",NA,NA,1,-1,"altreciprocity0",5
"V36",NA,NA,1,-1,"altreciprocity0",5
"V37",NA,NA,1,-1,"altreciprocity0",5
"V38",NA,NA,1,-1,"altreciprocity0",5
"V39","V28",1,1,-1,"altreciprocity0",5
"V40",NA,NA,1,-1,"altreciprocity0",5
"V41",NA,NA,1,-1,"altreciprocity0",5
"V42",NA,NA,1,-1,"altreciprocity0",5
"V43","V83",1,1,-1,"altreciprocity0",5
"V44",NA,NA,1,-1,"altreciprocity0",5
"V45",NA,NA,1,-1,"altreciprocity0",5
"V46",NA,NA,1,-1,"altreciprocity0",5
"V47",NA,NA,1,-1,"altreciprocity0",5
"V48",NA,NA,1,-1,"altreciprocity0",5
"V49","V92",1,1,-1,"altreciprocity0",5
"V50",NA,NA,1,-1,"altreciprocity0",5
"V51","V82",1,1,-1,"altreciprocity0",5
"V52","V105",1,1,-1,"altreciprocity0",5
"V52","V112",1,1,-1,"altreciprocity0",5
"V53","V82",1,1,-1,"altreciprocity0",5
"V54",NA,NA,1,-1,"altreciprocity0",5
"V55",NA,NA,1,-1,"altreciprocity0",5
"V56",NA,NA,1,-1,"altreciprocity0",5
"V57","V59",1,1,-1,"altreciprocity0",5
"V58",NA,NA,1,-1,"altreciprocity0",5
"V59",NA,NA,1,-1,"altreciprocity0",5
"V60","V133",1,1,-1,"altreciprocity0",5
"V61","V90",1,1,-1,"altreciprocity0",5
"V61","V147",1,1,-1,"altreciprocity0",5
"V62",NA,NA,1,-1,"altreciprocity0",5
"V63","V113",1,1,-1,"altreciprocity0",5
"V64",NA,NA,1,-1,"altreciprocity0",5
"V65",NA,NA,1,-1,"altreciprocity0",5
"V66","V82",1,1,-1,"altreciprocity0",5
"V67",NA,NA,1,-1,"altreciprocity0",5
"V68",NA,NA,1,-1,"altreciprocity0",5
"V69",NA,NA,1,-1,"altreciprocity0",5
"V70",NA,NA,1,-1,"altreciprocity0",5
"V71",NA,NA,1,-1,"altreciprocity0",5
"V72","V45",1,1,-1,"altreciprocity0",5
"V73",NA,NA,1,-1,"altreciprocity0",5
"V74",NA,NA,1,-1,"altreciprocity0",5
"V75","V77",1,1,-1,"altreciprocity0",5
"V76",NA,NA,1,-1,"altreciprocity0",5
"V77",NA,NA,1,-1,"altreciprocity0",5
"V78",NA,NA,1,-1,"altreciprocity0",5
