"from","to","dep.var.id","wave","sim","model","ord"
"V1",NA,NA,1,-1,"altsamettpx2.5",3
"V2",NA,NA,1,-1,"altsamettpx2.5",3
"V3","V52",1,1,-1,"altsamettpx2.5",3
"V4",NA,NA,1,-1,"altsamettpx2.5",3
"V5",NA,NA,1,-1,"altsamettpx2.5",3
"V6","V37",1,1,-1,"altsamettpx2.5",3
"V7",NA,NA,1,-1,"altsamettpx2.5",3
"V8",NA,NA,1,-1,"altsamettpx2.5",3
"V9","V5",1,1,-1,"altsamettpx2.5",3
"V10",NA,NA,1,-1,"altsamettpx2.5",3
"V11","V27",1,1,-1,"altsamettpx2.5",3
"V12","V103",1,1,-1,"altsamettpx2.5",3
"V12","V113",1,1,-1,"altsamettpx2.5",3
"V13","V113",1,1,-1,"altsamettpx2.5",3
"V14","V60",1,1,-1,"altsamettpx2.5",3
"V14","V89",1,1,-1,"altsamettpx2.5",3
"V15",NA,NA,1,-1,"altsamettpx2.5",3
"V16","V66",1,1,-1,"altsamettpx2.5",3
"V17","V36",1,1,-1,"altsamettpx2.5",3
"V18","V117",1,1,-1,"altsamettpx2.5",3
"V19","V89",1,1,-1,"altsamettpx2.5",3
"V20","V71",1,1,-1,"altsamettpx2.5",3
"V20","V88",1,1,-1,"altsamettpx2.5",3
"V21",NA,NA,1,-1,"altsamettpx2.5",3
"V22",NA,NA,1,-1,"altsamettpx2.5",3
"V23","V25",1,1,-1,"altsamettpx2.5",3
"V24","V41",1,1,-1,"altsamettpx2.5",3
"V25","V23",1,1,-1,"altsamettpx2.5",3
"V26","V89",1,1,-1,"altsamettpx2.5",3
"V27",NA,NA,1,-1,"altsamettpx2.5",3
"V28","V2",1,1,-1,"altsamettpx2.5",3
"V29",NA,NA,1,-1,"altsamettpx2.5",3
"V30",NA,NA,1,-1,"altsamettpx2.5",3
"V31",NA,NA,1,-1,"altsamettpx2.5",3
"V32","V136",1,1,-1,"altsamettpx2.5",3
"V33","V61",1,1,-1,"altsamettpx2.5",3
"V33","V100",1,1,-1,"altsamettpx2.5",3
"V33","V129",1,1,-1,"altsamettpx2.5",3
"V33","V147",1,1,-1,"altsamettpx2.5",3
"V34","V65",1,1,-1,"altsamettpx2.5",3
"V35","V57",1,1,-1,"altsamettpx2.5",3
"V36",NA,NA,1,-1,"altsamettpx2.5",3
"V37","V6",1,1,-1,"altsamettpx2.5",3
"V37","V79",1,1,-1,"altsamettpx2.5",3
"V38","V153",1,1,-1,"altsamettpx2.5",3
"V39","V149",1,1,-1,"altsamettpx2.5",3
"V40","V88",1,1,-1,"altsamettpx2.5",3
"V41","V27",1,1,-1,"altsamettpx2.5",3
"V42","V121",1,1,-1,"altsamettpx2.5",3
"V43","V127",1,1,-1,"altsamettpx2.5",3
"V44",NA,NA,1,-1,"altsamettpx2.5",3
"V45","V155",1,1,-1,"altsamettpx2.5",3
"V46","V60",1,1,-1,"altsamettpx2.5",3
"V46","V140",1,1,-1,"altsamettpx2.5",3
"V47","V110",1,1,-1,"altsamettpx2.5",3
"V48",NA,NA,1,-1,"altsamettpx2.5",3
"V49","V72",1,1,-1,"altsamettpx2.5",3
"V50",NA,NA,1,-1,"altsamettpx2.5",3
"V51","V33",1,1,-1,"altsamettpx2.5",3
"V51","V61",1,1,-1,"altsamettpx2.5",3
"V51","V76",1,1,-1,"altsamettpx2.5",3
"V51","V90",1,1,-1,"altsamettpx2.5",3
"V51","V147",1,1,-1,"altsamettpx2.5",3
"V52",NA,NA,1,-1,"altsamettpx2.5",3
"V53","V82",1,1,-1,"altsamettpx2.5",3
"V54",NA,NA,1,-1,"altsamettpx2.5",3
"V55",NA,NA,1,-1,"altsamettpx2.5",3
"V56","V132",1,1,-1,"altsamettpx2.5",3
"V57",NA,NA,1,-1,"altsamettpx2.5",3
"V58",NA,NA,1,-1,"altsamettpx2.5",3
"V59","V64",1,1,-1,"altsamettpx2.5",3
"V60",NA,NA,1,-1,"altsamettpx2.5",3
"V61","V51",1,1,-1,"altsamettpx2.5",3
"V61","V90",1,1,-1,"altsamettpx2.5",3
"V61","V147",1,1,-1,"altsamettpx2.5",3
"V62","V98",1,1,-1,"altsamettpx2.5",3
"V63","V89",1,1,-1,"altsamettpx2.5",3
"V64",NA,NA,1,-1,"altsamettpx2.5",3
"V65","V34",1,1,-1,"altsamettpx2.5",3
"V65","V104",1,1,-1,"altsamettpx2.5",3
"V66","V16",1,1,-1,"altsamettpx2.5",3
"V67","V83",1,1,-1,"altsamettpx2.5",3
"V68","V124",1,1,-1,"altsamettpx2.5",3
"V68","V147",1,1,-1,"altsamettpx2.5",3
"V69",NA,NA,1,-1,"altsamettpx2.5",3
"V70",NA,NA,1,-1,"altsamettpx2.5",3
"V71","V129",1,1,-1,"altsamettpx2.5",3
"V72","V121",1,1,-1,"altsamettpx2.5",3
"V73","V2",1,1,-1,"altsamettpx2.5",3
"V74",NA,NA,1,-1,"altsamettpx2.5",3
"V75",NA,NA,1,-1,"altsamettpx2.5",3
"V76","V147",1,1,-1,"altsamettpx2.5",3
"V76","V150",1,1,-1,"altsamettpx2.5",3
"V77","V146",1,1,-1,"altsamettpx2.5",3
"V78","V101",1,1,-1,"altsamettpx2.5",3
"V79",NA,NA,1,-1,"altsamettpx2.5",3
"V80","V22",1,1,-1,"altsamettpx2.5",3
"V81",NA,NA,1,-1,"altsamettpx2.5",3
"V82",NA,NA,1,-1,"altsamettpx2.5",3
"V83","V130",1,1,-1,"altsamettpx2.5",3
"V84",NA,NA,1,-1,"altsamettpx2.5",3
"V85",NA,NA,1,-1,"altsamettpx2.5",3
"V86",NA,NA,1,-1,"altsamettpx2.5",3
"V87","V153",1,1,-1,"altsamettpx2.5",3
"V88","V20",1,1,-1,"altsamettpx2.5",3
"V88","V40",1,1,-1,"altsamettpx2.5",3
"V89","V14",1,1,-1,"altsamettpx2.5",3
"V90","V51",1,1,-1,"altsamettpx2.5",3
"V90","V61",1,1,-1,"altsamettpx2.5",3
"V90","V147",1,1,-1,"altsamettpx2.5",3
"V91","V94",1,1,-1,"altsamettpx2.5",3
"V91","V104",1,1,-1,"altsamettpx2.5",3
"V92","V24",1,1,-1,"altsamettpx2.5",3
"V92","V111",1,1,-1,"altsamettpx2.5",3
"V93","V133",1,1,-1,"altsamettpx2.5",3
"V94","V76",1,1,-1,"altsamettpx2.5",3
"V94","V91",1,1,-1,"altsamettpx2.5",3
"V95","V51",1,1,-1,"altsamettpx2.5",3
"V95","V106",1,1,-1,"altsamettpx2.5",3
"V96",NA,NA,1,-1,"altsamettpx2.5",3
"V97","V151",1,1,-1,"altsamettpx2.5",3
"V98","V62",1,1,-1,"altsamettpx2.5",3
"V99","V148",1,1,-1,"altsamettpx2.5",3
"V100","V33",1,1,-1,"altsamettpx2.5",3
"V101","V78",1,1,-1,"altsamettpx2.5",3
"V101","V136",1,1,-1,"altsamettpx2.5",3
"V102",NA,NA,1,-1,"altsamettpx2.5",3
"V103","V37",1,1,-1,"altsamettpx2.5",3
"V104",NA,NA,1,-1,"altsamettpx2.5",3
"V105","V52",1,1,-1,"altsamettpx2.5",3
"V106",NA,NA,1,-1,"altsamettpx2.5",3
"V107","V7",1,1,-1,"altsamettpx2.5",3
"V108",NA,NA,1,-1,"altsamettpx2.5",3
"V109","V6",1,1,-1,"altsamettpx2.5",3
"V110","V47",1,1,-1,"altsamettpx2.5",3
"V110","V119",1,1,-1,"altsamettpx2.5",3
"V111","V92",1,1,-1,"altsamettpx2.5",3
"V112","V125",1,1,-1,"altsamettpx2.5",3
"V112","V144",1,1,-1,"altsamettpx2.5",3
"V113",NA,NA,1,-1,"altsamettpx2.5",3
"V114","V107",1,1,-1,"altsamettpx2.5",3
"V114","V151",1,1,-1,"altsamettpx2.5",3
"V115","V121",1,1,-1,"altsamettpx2.5",3
"V116","V85",1,1,-1,"altsamettpx2.5",3
"V116","V93",1,1,-1,"altsamettpx2.5",3
"V117",NA,NA,1,-1,"altsamettpx2.5",3
"V118",NA,NA,1,-1,"altsamettpx2.5",3
"V119",NA,NA,1,-1,"altsamettpx2.5",3
"V120",NA,NA,1,-1,"altsamettpx2.5",3
"V121","V42",1,1,-1,"altsamettpx2.5",3
"V122",NA,NA,1,-1,"altsamettpx2.5",3
"V123","V84",1,1,-1,"altsamettpx2.5",3
"V123","V124",1,1,-1,"altsamettpx2.5",3
"V124","V68",1,1,-1,"altsamettpx2.5",3
"V124","V123",1,1,-1,"altsamettpx2.5",3
"V125","V112",1,1,-1,"altsamettpx2.5",3
"V125","V144",1,1,-1,"altsamettpx2.5",3
"V126",NA,NA,1,-1,"altsamettpx2.5",3
"V127","V43",1,1,-1,"altsamettpx2.5",3
"V128",NA,NA,1,-1,"altsamettpx2.5",3
"V129","V145",1,1,-1,"altsamettpx2.5",3
"V130",NA,NA,1,-1,"altsamettpx2.5",3
"V131",NA,NA,1,-1,"altsamettpx2.5",3
"V132",NA,NA,1,-1,"altsamettpx2.5",3
"V133","V17",1,1,-1,"altsamettpx2.5",3
"V133","V93",1,1,-1,"altsamettpx2.5",3
"V134",NA,NA,1,-1,"altsamettpx2.5",3
"V135",NA,NA,1,-1,"altsamettpx2.5",3
"V136","V32",1,1,-1,"altsamettpx2.5",3
"V136","V101",1,1,-1,"altsamettpx2.5",3
"V137",NA,NA,1,-1,"altsamettpx2.5",3
"V138","V128",1,1,-1,"altsamettpx2.5",3
"V139",NA,NA,1,-1,"altsamettpx2.5",3
"V140","V40",1,1,-1,"altsamettpx2.5",3
"V140","V46",1,1,-1,"altsamettpx2.5",3
"V141",NA,NA,1,-1,"altsamettpx2.5",3
"V142","V104",1,1,-1,"altsamettpx2.5",3
"V143","V5",1,1,-1,"altsamettpx2.5",3
"V144","V125",1,1,-1,"altsamettpx2.5",3
"V145","V129",1,1,-1,"altsamettpx2.5",3
"V146","V55",1,1,-1,"altsamettpx2.5",3
"V147","V33",1,1,-1,"altsamettpx2.5",3
"V147","V51",1,1,-1,"altsamettpx2.5",3
"V147","V61",1,1,-1,"altsamettpx2.5",3
"V147","V76",1,1,-1,"altsamettpx2.5",3
"V147","V90",1,1,-1,"altsamettpx2.5",3
"V148",NA,NA,1,-1,"altsamettpx2.5",3
"V149",NA,NA,1,-1,"altsamettpx2.5",3
"V150",NA,NA,1,-1,"altsamettpx2.5",3
"V151",NA,NA,1,-1,"altsamettpx2.5",3
"V152",NA,NA,1,-1,"altsamettpx2.5",3
"V153","V38",1,1,-1,"altsamettpx2.5",3
"V154","V54",1,1,-1,"altsamettpx2.5",3
"V155","V25",1,1,-1,"altsamettpx2.5",3
"V1","V111",1,1,1,"basic",6
"V2","V34",1,1,1,"basic",6
"V3","V149",1,1,1,"basic",6
"V4","V128",1,1,1,"basic",6
"V5","V9",1,1,1,"basic",6
"V5","V96",1,1,1,"basic",6
"V6",NA,NA,1,1,"basic",6
"V7",NA,NA,1,1,"basic",6
"V8",NA,NA,1,1,"basic",6
"V9","V5",1,1,1,"basic",6
"V10","V37",1,1,1,"basic",6
"V10","V114",1,1,1,"basic",6
"V11","V13",1,1,1,"basic",6
"V12",NA,NA,1,1,"basic",6
"V13","V89",1,1,1,"basic",6
"V13","V113",1,1,1,"basic",6
"V14","V60",1,1,1,"basic",6
"V14","V89",1,1,1,"basic",6
"V15","V11",1,1,1,"basic",6
"V16",NA,NA,1,1,"basic",6
"V17",NA,NA,1,1,"basic",6
"V18",NA,NA,1,1,"basic",6
"V19",NA,NA,1,1,"basic",6
"V20","V88",1,1,1,"basic",6
"V21","V147",1,1,1,"basic",6
"V22",NA,NA,1,1,"basic",6
"V23",NA,NA,1,1,"basic",6
"V24","V102",1,1,1,"basic",6
"V25",NA,NA,1,1,"basic",6
"V26","V73",1,1,1,"basic",6
"V27",NA,NA,1,1,"basic",6
"V28","V112",1,1,1,"basic",6
"V29",NA,NA,1,1,"basic",6
"V30","V112",1,1,1,"basic",6
"V31","V112",1,1,1,"basic",6
"V32",NA,NA,1,1,"basic",6
"V33","V100",1,1,1,"basic",6
"V34","V149",1,1,1,"basic",6
"V35",NA,NA,1,1,"basic",6
"V36",NA,NA,1,1,"basic",6
"V37",NA,NA,1,1,"basic",6
"V38",NA,NA,1,1,"basic",6
"V39",NA,NA,1,1,"basic",6
"V40",NA,NA,1,1,"basic",6
"V41",NA,NA,1,1,"basic",6
"V42",NA,NA,1,1,"basic",6
"V43","V113",1,1,1,"basic",6
"V44",NA,NA,1,1,"basic",6
"V45","V101",1,1,1,"basic",6
"V45","V147",1,1,1,"basic",6
"V46","V140",1,1,1,"basic",6
"V47","V110",1,1,1,"basic",6
"V48",NA,NA,1,1,"basic",6
"V49","V19",1,1,1,"basic",6
"V50",NA,NA,1,1,"basic",6
"V51",NA,NA,1,1,"basic",6
"V52",NA,NA,1,1,"basic",6
"V53",NA,NA,1,1,"basic",6
"V54","V154",1,1,1,"basic",6
"V55","V43",1,1,1,"basic",6
"V56",NA,NA,1,1,"basic",6
"V57","V79",1,1,1,"basic",6
"V58","V77",1,1,1,"basic",6
"V59","V126",1,1,1,"basic",6
"V60","V14",1,1,1,"basic",6
"V61","V147",1,1,1,"basic",6
"V62","V117",1,1,1,"basic",6
"V63",NA,NA,1,1,"basic",6
"V64",NA,NA,1,1,"basic",6
"V65",NA,NA,1,1,"basic",6
"V66","V70",1,1,1,"basic",6
"V67","V83",1,1,1,"basic",6
"V68","V124",1,1,1,"basic",6
"V69","V79",1,1,1,"basic",6
"V70","V32",1,1,1,"basic",6
"V70","V66",1,1,1,"basic",6
"V71","V138",1,1,1,"basic",6
"V72","V87",1,1,1,"basic",6
"V72","V121",1,1,1,"basic",6
"V73","V136",1,1,1,"basic",6
"V74",NA,NA,1,1,"basic",6
"V75","V77",1,1,1,"basic",6
"V76","V50",1,1,1,"basic",6
"V76","V150",1,1,1,"basic",6
"V77","V58",1,1,1,"basic",6
"V77","V75",1,1,1,"basic",6
"V78","V101",1,1,1,"basic",6
"V79","V57",1,1,1,"basic",6
"V80","V81",1,1,1,"basic",6
"V81",NA,NA,1,1,"basic",6
"V82",NA,NA,1,1,"basic",6
"V83",NA,NA,1,1,"basic",6
"V84","V123",1,1,1,"basic",6
"V85",NA,NA,1,1,"basic",6
"V86",NA,NA,1,1,"basic",6
"V87","V83",1,1,1,"basic",6
"V88",NA,NA,1,1,"basic",6
"V89","V14",1,1,1,"basic",6
"V90","V61",1,1,1,"basic",6
"V91",NA,NA,1,1,"basic",6
"V92",NA,NA,1,1,"basic",6
"V93","V88",1,1,1,"basic",6
"V93","V116",1,1,1,"basic",6
"V94","V82",1,1,1,"basic",6
"V95",NA,NA,1,1,"basic",6
"V96",NA,NA,1,1,"basic",6
"V97",NA,NA,1,1,"basic",6
"V98","V62",1,1,1,"basic",6
"V98","V137",1,1,1,"basic",6
"V99",NA,NA,1,1,"basic",6
"V100","V33",1,1,1,"basic",6
"V101","V27",1,1,1,"basic",6
"V101","V78",1,1,1,"basic",6
"V101","V131",1,1,1,"basic",6
"V102","V24",1,1,1,"basic",6
"V102","V43",1,1,1,"basic",6
"V103",NA,NA,1,1,"basic",6
"V104","V61",1,1,1,"basic",6
"V104","V65",1,1,1,"basic",6
"V105","V31",1,1,1,"basic",6
"V106",NA,NA,1,1,"basic",6
"V107","V7",1,1,1,"basic",6
"V108",NA,NA,1,1,"basic",6
"V109",NA,NA,1,1,"basic",6
"V110","V47",1,1,1,"basic",6
"V111","V1",1,1,1,"basic",6
"V112","V28",1,1,1,"basic",6
"V112","V30",1,1,1,"basic",6
"V112","V31",1,1,1,"basic",6
"V113","V13",1,1,1,"basic",6
"V113","V135",1,1,1,"basic",6
"V114","V10",1,1,1,"basic",6
"V115",NA,NA,1,1,"basic",6
"V116","V93",1,1,1,"basic",6
"V117",NA,NA,1,1,"basic",6
"V118",NA,NA,1,1,"basic",6
"V119",NA,NA,1,1,"basic",6
"V120","V57",1,1,1,"basic",6
"V121","V42",1,1,1,"basic",6
"V122","V10",1,1,1,"basic",6
"V123","V84",1,1,1,"basic",6
"V124",NA,NA,1,1,"basic",6
"V125",NA,NA,1,1,"basic",6
"V126",NA,NA,1,1,"basic",6
"V127",NA,NA,1,1,"basic",6
"V128",NA,NA,1,1,"basic",6
"V129",NA,NA,1,1,"basic",6
"V130",NA,NA,1,1,"basic",6
"V131","V101",1,1,1,"basic",6
"V132",NA,NA,1,1,"basic",6
"V133","V153",1,1,1,"basic",6
"V134",NA,NA,1,1,"basic",6
"V135","V113",1,1,1,"basic",6
"V136","V73",1,1,1,"basic",6
"V136","V114",1,1,1,"basic",6
"V137","V2",1,1,1,"basic",6
"V137","V98",1,1,1,"basic",6
"V138","V71",1,1,1,"basic",6
