"from","to","dep.var.id","wave","sim","model","ord"
"V1",NA,NA,1,-1,"altsimttbx1.5",6
"V2","V17",1,1,-1,"altsimttbx1.5",6
"V3",NA,NA,1,-1,"altsimttbx1.5",6
"V4","V24",1,1,-1,"altsimttbx1.5",6
"V5",NA,NA,1,-1,"altsimttbx1.5",6
"V6",NA,NA,1,-1,"altsimttbx1.5",6
"V7",NA,NA,1,-1,"altsimttbx1.5",6
"V8",NA,NA,1,-1,"altsimttbx1.5",6
"V9","V5",1,1,-1,"altsimttbx1.5",6
"V10","V97",1,1,-1,"altsimttbx1.5",6
"V11","V155",1,1,-1,"altsimttbx1.5",6
"V12",NA,NA,1,-1,"altsimttbx1.5",6
"V13",NA,NA,1,-1,"altsimttbx1.5",6
"V14","V46",1,1,-1,"altsimttbx1.5",6
"V14","V60",1,1,-1,"altsimttbx1.5",6
"V14","V89",1,1,-1,"altsimttbx1.5",6
"V15",NA,NA,1,-1,"altsimttbx1.5",6
"V16",NA,NA,1,-1,"altsimttbx1.5",6
"V17","V36",1,1,-1,"altsimttbx1.5",6
"V18",NA,NA,1,-1,"altsimttbx1.5",6
"V19","V50",1,1,-1,"altsimttbx1.5",6
"V20","V12",1,1,-1,"altsimttbx1.5",6
"V20","V88",1,1,-1,"altsimttbx1.5",6
"V21",NA,NA,1,-1,"altsimttbx1.5",6
"V22","V107",1,1,-1,"altsimttbx1.5",6
"V23","V25",1,1,-1,"altsimttbx1.5",6
"V23","V87",1,1,-1,"altsimttbx1.5",6
"V24","V145",1,1,-1,"altsimttbx1.5",6
"V25","V23",1,1,-1,"altsimttbx1.5",6
"V26","V116",1,1,-1,"altsimttbx1.5",6
"V26","V122",1,1,-1,"altsimttbx1.5",6
"V27",NA,NA,1,-1,"altsimttbx1.5",6
"V28",NA,NA,1,-1,"altsimttbx1.5",6
"V29","V137",1,1,-1,"altsimttbx1.5",6
"V30",NA,NA,1,-1,"altsimttbx1.5",6
"V31",NA,NA,1,-1,"altsimttbx1.5",6
"V32","V96",1,1,-1,"altsimttbx1.5",6
"V33","V136",1,1,-1,"altsimttbx1.5",6
"V34",NA,NA,1,-1,"altsimttbx1.5",6
"V35",NA,NA,1,-1,"altsimttbx1.5",6
"V36","V17",1,1,-1,"altsimttbx1.5",6
"V36","V107",1,1,-1,"altsimttbx1.5",6
"V37",NA,NA,1,-1,"altsimttbx1.5",6
"V38",NA,NA,1,-1,"altsimttbx1.5",6
"V39","V111",1,1,-1,"altsimttbx1.5",6
"V40",NA,NA,1,-1,"altsimttbx1.5",6
"V41",NA,NA,1,-1,"altsimttbx1.5",6
"V42","V121",1,1,-1,"altsimttbx1.5",6
"V43","V143",1,1,-1,"altsimttbx1.5",6
"V44",NA,NA,1,-1,"altsimttbx1.5",6
"V45",NA,NA,1,-1,"altsimttbx1.5",6
"V46","V60",1,1,-1,"altsimttbx1.5",6
"V46","V88",1,1,-1,"altsimttbx1.5",6
"V46","V140",1,1,-1,"altsimttbx1.5",6
"V47","V110",1,1,-1,"altsimttbx1.5",6
"V47","V151",1,1,-1,"altsimttbx1.5",6
"V48",NA,NA,1,-1,"altsimttbx1.5",6
"V49","V88",1,1,-1,"altsimttbx1.5",6
"V50",NA,NA,1,-1,"altsimttbx1.5",6
"V51",NA,NA,1,-1,"altsimttbx1.5",6
"V52",NA,NA,1,-1,"altsimttbx1.5",6
"V53",NA,NA,1,-1,"altsimttbx1.5",6
"V54","V154",1,1,-1,"altsimttbx1.5",6
"V55",NA,NA,1,-1,"altsimttbx1.5",6
"V56","V48",1,1,-1,"altsimttbx1.5",6
"V57","V120",1,1,-1,"altsimttbx1.5",6
"V58","V74",1,1,-1,"altsimttbx1.5",6
"V59",NA,NA,1,-1,"altsimttbx1.5",6
"V60","V14",1,1,-1,"altsimttbx1.5",6
"V60","V46",1,1,-1,"altsimttbx1.5",6
"V60","V89",1,1,-1,"altsimttbx1.5",6
"V61","V90",1,1,-1,"altsimttbx1.5",6
"V61","V147",1,1,-1,"altsimttbx1.5",6
"V62","V98",1,1,-1,"altsimttbx1.5",6
"V63",NA,NA,1,-1,"altsimttbx1.5",6
"V64","V32",1,1,-1,"altsimttbx1.5",6
"V65",NA,NA,1,-1,"altsimttbx1.5",6
"V66",NA,NA,1,-1,"altsimttbx1.5",6
"V67","V83",1,1,-1,"altsimttbx1.5",6
"V68",NA,NA,1,-1,"altsimttbx1.5",6
"V69","V16",1,1,-1,"altsimttbx1.5",6
"V70",NA,NA,1,-1,"altsimttbx1.5",6
"V71","V138",1,1,-1,"altsimttbx1.5",6
"V72","V121",1,1,-1,"altsimttbx1.5",6
"V72","V140",1,1,-1,"altsimttbx1.5",6
"V73","V45",1,1,-1,"altsimttbx1.5",6
"V74",NA,NA,1,-1,"altsimttbx1.5",6
"V75","V77",1,1,-1,"altsimttbx1.5",6
"V76",NA,NA,1,-1,"altsimttbx1.5",6
"V77","V75",1,1,-1,"altsimttbx1.5",6
"V78","V25",1,1,-1,"altsimttbx1.5",6
"V79","V14",1,1,-1,"altsimttbx1.5",6
"V80","V139",1,1,-1,"altsimttbx1.5",6
"V81",NA,NA,1,-1,"altsimttbx1.5",6
"V82",NA,NA,1,-1,"altsimttbx1.5",6
"V83","V90",1,1,-1,"altsimttbx1.5",6
"V84","V123",1,1,-1,"altsimttbx1.5",6
"V85",NA,NA,1,-1,"altsimttbx1.5",6
"V86","V95",1,1,-1,"altsimttbx1.5",6
"V87","V108",1,1,-1,"altsimttbx1.5",6
"V88","V20",1,1,-1,"altsimttbx1.5",6
"V88","V46",1,1,-1,"altsimttbx1.5",6
"V88","V124",1,1,-1,"altsimttbx1.5",6
"V88","V138",1,1,-1,"altsimttbx1.5",6
"V89","V14",1,1,-1,"altsimttbx1.5",6
"V89","V60",1,1,-1,"altsimttbx1.5",6
"V90","V61",1,1,-1,"altsimttbx1.5",6
"V91","V110",1,1,-1,"altsimttbx1.5",6
"V92",NA,NA,1,-1,"altsimttbx1.5",6
"V93","V116",1,1,-1,"altsimttbx1.5",6
"V94",NA,NA,1,-1,"altsimttbx1.5",6
"V95","V86",1,1,-1,"altsimttbx1.5",6
"V95","V106",1,1,-1,"altsimttbx1.5",6
"V95","V145",1,1,-1,"altsimttbx1.5",6
"V96",NA,NA,1,-1,"altsimttbx1.5",6
"V97",NA,NA,1,-1,"altsimttbx1.5",6
"V98","V62",1,1,-1,"altsimttbx1.5",6
"V99",NA,NA,1,-1,"altsimttbx1.5",6
"V100",NA,NA,1,-1,"altsimttbx1.5",6
"V101","V25",1,1,-1,"altsimttbx1.5",6
"V102",NA,NA,1,-1,"altsimttbx1.5",6
"V103",NA,NA,1,-1,"altsimttbx1.5",6
"V104",NA,NA,1,-1,"altsimttbx1.5",6
"V105","V152",1,1,-1,"altsimttbx1.5",6
