ip_address,nick_name,start_time,end_time,pic_id,response_no,conf_level,choice_reason,description,weight,response,sample_size,test_param,param_value,p_value,obs_plot_location,pic_name,experiment,difficulty,data_name,trial,type,alt_model,datapick,size,sign,initialEst
,A2LT6KC1X51FVW,1508518637.0275543,1508518650.1851277,9942,2,Certain,Most complicated overall structure,turk22,1,2,NA,jtts,1,NA,2,file23c562755d7.svg,turk22,9,jtts_gof_9_2.csv,0,M-1,data,TRUE,3.340301961018899,0,3.340301961018899
,A37S96RT1P1IT2,1508518633.8908687,1508518650.8555293,9933,1,Certain,Most complicated overall structure,turk22,1,1,NA,jttp,1,NA,1,file23c336a4b8d.svg,turk22,9,jttp_gof_9_3.csv,0,M-1,data,TRUE,-3.4498956944706896,0,-3.4498956944706896
,A154X03NKVZZL1,1508518642.7238114,1508518652.3350348,9942,4,Certain,Most simple overall structure,turk22,1,4,NA,jtts,1,NA,2,file23c562755d7.svg,turk22,9,jtts_gof_9_2.csv,0,M-1,data,FALSE,3.340301961018899,0,3.340301961018899
,A1UTBDKOQ2MKUD,1508518656.7133574,1508518662.8401484,9931,2,Very Certain,Most complicated overall structure,turk22,1,2,NA,jttp,1,NA,2,file23c3125e678.svg,turk22,9,jttp_gof_9_1.csv,0,M-1,data,TRUE,-3.4498956944706896,0,-3.4498956944706896
,A256FHXGSY0E5D,1508518692.8825562,1508518700.838138,9941,3,Certain,Most complicated overall structure,turk22,1,3,NA,jtts,1,NA,3,file23c5f40e48f.svg,turk22,9,jtts_gof_9_1.csv,0,M-1,data,TRUE,3.340301961018899,0,3.340301961018899
,A1EQ2HDHF2WWSY,1508518692.5041766,1508518705.683226,9941,3,Very Certain,"Other, unusual cluster ",turk22,1,3,NA,jtts,1,NA,3,file23c5f40e48f.svg,turk22,9,jtts_gof_9_1.csv,0,M-1,data,TRUE,3.340301961018899,0,3.340301961018899
,AQNIO8YEHWUBR,1508518733.7557197,1508518740.2142107,9933,1,Certain,Most simple overall structure,turk22,1,1,NA,jttp,1,NA,1,file23c336a4b8d.svg,turk22,9,jttp_gof_9_3.csv,0,M-1,data,TRUE,-3.4498956944706896,0,-3.4498956944706896
,A3VP27UUQ34OXK,1508518787.6572285,1508518813.5009725,9942,5,Neutral,Most complicated overall structure,turk22,1,5,NA,jtts,1,NA,2,file23c562755d7.svg,turk22,9,jtts_gof_9_2.csv,0,M-1,data,FALSE,3.340301961018899,0,3.340301961018899
,A19LTHK3TA57SF,1508518849.880437,1508518874.696884,9931,2,Very Certain,Most complicated overall structure,turk22,1,2,NA,jttp,1,NA,2,file23c3125e678.svg,turk22,9,jttp_gof_9_1.csv,0,M-1,data,TRUE,-3.4498956944706896,0,-3.4498956944706896
,A2KI0FDBL0BC32,1508518866.6620739,1508518874.9944954,9931,2,Very Uncertain,Most complicated overall structure,turk22,1,2,NA,jttp,1,NA,2,file23c3125e678.svg,turk22,9,jttp_gof_9_1.csv,0,M-1,data,TRUE,-3.4498956944706896,0,-3.4498956944706896
