ip_address,nick_name,start_time,end_time,pic_id,response_no,conf_level,choice_reason,description,weight,response,sample_size,test_param,param_value,p_value,obs_plot_location,pic_name,experiment,difficulty,data_name,trial,type,alt_model,datapick,size,sign,initialEst
,A1EQ2HDHF2WWSY,1508518509.693671,1508518519.4123096,3233,2,Certain,Most simple overall structure,turk22,1,2,NA,jttp,-1.5,NA,5,file23c3bfaacde.svg,turk22,3,jttp_neg_hard_3.csv,0,one,jttp,FALSE,5.174843541706034,1,-3.4498956944706896
,A1EQ2HDHF2WWSY,1508518519.4877987,1508518543.7149675,3112,4,Neutral,Most simple overall structure,turk22,1,4,NA,dens,1.2,NA,3,file23c3c3ce4e8.svg,turk22,3,dens_pos_hard_2.csv,0,one,dens,FALSE,-5.883332769700555,-1,-4.902777308083796
,A1EQ2HDHF2WWSY,1508518543.798836,1508518566.154817,1212,5,Very Certain,"Other, unusual cluster",turk22,1,5,NA,dens,0.8,NA,5,file23c5af07587.svg,turk22,1,dens_neg_easy_2.csv,0,one,dens,TRUE,-3.9222218464670373,1,-4.902777308083796
,A2LT6KC1X51FVW,1508518578.3830402,1508518593.7916114,1223,4,Certain,Most simple overall structure,turk22,1,4,NA,recip,0,NA,5,file23c391e0f33.svg,turk22,1,recip_neg_easy_3.csv,0,one,recip,FALSE,0,-1,4.893109179857534
,A1EQ2HDHF2WWSY,1508518566.234666,1508518594.3548186,3223,6,Very Uncertain,Most complicated overall structure,turk22,1,6,NA,recip,0.01,NA,2,file23c22e9efd0.svg,turk22,3,recip_neg_hard_3.csv,0,one,recip,FALSE,0.04893109179857534,-1,4.893109179857534
,A154X03NKVZZL1,1508518577.4845304,1508518594.5849786,1223,5,Certain,Most complicated overall structure,turk22,1,5,NA,recip,0,NA,5,file23c391e0f33.svg,turk22,1,recip_neg_easy_3.csv,0,one,recip,TRUE,0,-1,4.893109179857534
,A154X03NKVZZL1,1508518594.7708678,1508518605.7828085,3132,3,Very Certain,Most complicated overall structure,turk22,1,3,NA,jttp,1,NA,3,file23c523bfc46.svg,turk22,3,jttp_pos_hard_2.csv,0,one,jttp,TRUE,-3.4498956944706896,0,-3.4498956944706896
,A2LT6KC1X51FVW,1508518593.9956405,1508518606.3850095,3132,3,Certain,Most complicated overall structure,turk22,1,3,NA,jttp,1,NA,3,file23c523bfc46.svg,turk22,3,jttp_pos_hard_2.csv,0,one,jttp,TRUE,-3.4498956944706896,0,-3.4498956944706896
,A1EQ2HDHF2WWSY,1508518594.440998,1508518606.918954,1153,6,Very Certain,"Other, unusual cluster",turk22,1,6,NA,simttb,2,NA,6,file23c279d5b40.svg,turk22,1,simttb_pos_easy_3.csv,0,one,simttb,TRUE,20.181658738005805,1,10.090829369002902
,A154X03NKVZZL1,1508518605.8589876,1508518614.3796413,1111,6,Very Certain,Most simple overall structure,turk22,1,6,NA,dens,1.5,NA,6,file23c27f44fc.svg,turk22,1,dens_pos_easy_1.csv,0,one,dens,TRUE,-7.354165962125695,-1,-4.902777308083796
