"from","to","same.conf","value","group","data_plot"
"AirForce","NevadaLasVegas",1,"Mountain West",2,2
"Akron","MiamiOhio",1,"Mid-American",2,2
"Akron","VirginiaTech",0,"Mid-American",2,2
"Akron","Buffalo",1,"Mid-American",2,2
"Akron","BowlingGreenState",1,"Mid-American",2,2
"Akron","Kent",1,"Mid-American",2,2
"Akron","Connecticut",0,"Mid-American",2,2
"Akron","Ohio",1,"Mid-American",2,2
"Akron","CentralFlorida",0,"Mid-American",2,2
"Akron","CentralMichigan",1,"Mid-American",2,2
"Akron","Marshall",1,"Mid-American",2,2
"Alabama","MississippiState",1,"Southeastern",2,2
"Alabama","Mississippi",1,"Southeastern",2,2
"Alabama","CentralFlorida",0,"Southeastern",2,2
"Alabama","Tennessee",1,"Southeastern",2,2
"Alabama","Arkansas",1,"Southeastern",2,2
"Alabama","SouthernMississippi",0,"Southeastern",2,2
"Alabama","SouthCarolina",1,"Southeastern",2,2
"Alabama","UCLA",0,"Southeastern",2,2
"Alabama","LouisianaState",1,"Southeastern",2,2
"Alabama","Vanderbilt",1,"Southeastern",2,2
"AlabamaBirmingham",NA,NA,"Conference USA",2,2
"Arizona","Washington",1,"Pacific Ten",2,2
"Arizona","Oregon",1,"Pacific Ten",2,2
"Arizona","OregonState",1,"Pacific Ten",2,2
"Arizona","Utah",0,"Pacific Ten",2,2
"Arizona","WashingtonState",1,"Pacific Ten",2,2
"Arizona","OhioState",0,"Pacific Ten",2,2
"Arizona","Stanford",1,"Pacific Ten",2,2
"ArizonaState","California",1,"Pacific Ten",2,2
"ArizonaState","Stanford",1,"Pacific Ten",2,2
"ArizonaState","Oregon",1,"Pacific Ten",2,2
"ArizonaState","Washington",1,"Pacific Ten",2,2
"ArizonaState","SanDiegoState",0,"Pacific Ten",2,2
"ArizonaState","UCLA",1,"Pacific Ten",2,2
"ArizonaState","ColoradoState",0,"Pacific Ten",2,2
"ArizonaState","Arizona",1,"Pacific Ten",2,2
"ArizonaState","UtahState",0,"Pacific Ten",2,2
"ArizonaState","WashingtonState",1,"Pacific Ten",2,2
"Arkansas",NA,NA,"Southeastern",2,2
"ArkansasState","Memphis",0,"Sun Belt",2,2
"ArkansasState","Oklahoma",0,"Sun Belt",2,2
"ArkansasState","UtahState",0,"Sun Belt",2,2
"ArkansasState","NorthCarolinaState",0,"Sun Belt",2,2
"ArkansasState","Mississippi",0,"Sun Belt",2,2
"ArkansasState","BoiseState",0,"Sun Belt",2,2
"ArkansasState","NewMexicoState",1,"Sun Belt",2,2
"ArkansasState","TexasChristian",0,"Sun Belt",2,2
"ArkansasState","Idaho",1,"Sun Belt",2,2
"Army","Cincinnati",1,"Conference USA",2,2
"Army","AirForce",0,"Conference USA",2,2
"Army","AlabamaBirmingham",1,"Conference USA",2,2
"Auburn","MississippiState",1,"Southeastern",2,2
"Auburn","LouisianaTech",0,"Southeastern",2,2
"Auburn","LouisianaState",1,"Southeastern",2,2
"Auburn","Alabama",1,"Southeastern",2,2
"Auburn","Vanderbilt",1,"Southeastern",2,2
"Auburn","Florida",1,"Southeastern",2,2
"Auburn","Georgia",1,"Southeastern",2,2
"Auburn","Arkansas",1,"Southeastern",2,2
"Auburn","Mississippi",1,"Southeastern",2,2
"BallState","Buffalo",1,"Mid-American",2,2
"BallState","MiamiOhio",1,"Mid-American",2,2
"BallState","Toledo",1,"Mid-American",2,2
"BallState","EasternMichigan",1,"Mid-American",2,2
"BallState","Florida",0,"Mid-American",2,2
"BallState","Connecticut",0,"Mid-American",2,2
"BallState","CentralMichigan",1,"Mid-American",2,2
"Baylor","IowaState",1,"Big Twelve",2,2
"Baylor","NorthTexas",0,"Big Twelve",2,2
"Baylor","Missouri",1,"Big Twelve",2,2
"Baylor","Nebraska",1,"Big Twelve",2,2
"Baylor","OklahomaState",1,"Big Twelve",2,2
"Baylor","Texas",1,"Big Twelve",2,2
"Baylor","Oklahoma",1,"Big Twelve",2,2
"Baylor","TexasA&M",1,"Big Twelve",2,2
"Baylor","Minnesota",0,"Big Twelve",2,2
"BoiseState","NewMexicoState",0,"Western Athletic",2,2
"BoiseState","UtahState",0,"Western Athletic",2,2
"BoiseState","WashingtonState",0,"Western Athletic",2,2
"BoiseState","Arkansas",0,"Western Athletic",2,2
"BoiseState","Idaho",0,"Western Athletic",2,2
"BoiseState","CentralMichigan",0,"Western Athletic",2,2
"BostonCollege","NotreDame",0,"Big East",2,2
"BostonCollege","MiamiFlorida",1,"Big East",2,2
"BostonCollege","Rutgers",1,"Big East",2,2
"BostonCollege","Navy",0,"Big East",2,2
"BostonCollege","Temple",1,"Big East",2,2
"BostonCollege","WestVirginia",1,"Big East",2,2
"BostonCollege","Connecticut",0,"Big East",2,2
"BostonCollege","Army",0,"Big East",2,2
"BostonCollege","Syracuse",1,"Big East",2,2
"BostonCollege","Pittsburgh",1,"Big East",2,2
"BowlingGreenState","Pittsburgh",0,"Mid-American",2,2
"BowlingGreenState","EasternMichigan",1,"Mid-American",2,2
"BowlingGreenState","Marshall",1,"Mid-American",2,2
"BowlingGreenState","Buffalo",1,"Mid-American",2,2
"BowlingGreenState","Kent",1,"Mid-American",2,2
"BowlingGreenState","Ohio",1,"Mid-American",2,2
"BowlingGreenState","Toledo",1,"Mid-American",2,2
"BowlingGreenState","Michigan",0,"Mid-American",2,2
"BowlingGreenState","MiamiOhio",1,"Mid-American",2,2
"BowlingGreenState","Temple",0,"Mid-American",2,2
"BrighamYoung","FloridaState",0,"Mountain West",2,2
"BrighamYoung","Utah",1,"Mountain West",2,2
"BrighamYoung","NewMexico",1,"Mountain West",2,2
"BrighamYoung","AirForce",1,"Mountain West",2,2
"BrighamYoung","NevadaLasVegas",1,"Mountain West",2,2
"BrighamYoung","UtahState",0,"Mountain West",2,2
"BrighamYoung","Wyoming",1,"Mountain West",2,2
"BrighamYoung","SanDiegoState",1,"Mountain West",2,2
"BrighamYoung","MississippiState",0,"Mountain West",2,2
"BrighamYoung","Syracuse",0,"Mountain West",2,2
"BrighamYoung","ColoradoState",1,"Mountain West",2,2
"BrighamYoung","Virginia",0,"Mountain West",2,2
"Buffalo","Ohio",1,"Mid-American",2,2
"Buffalo","Marshall",1,"Mid-American",2,2
"Buffalo","Connecticut",0,"Mid-American",2,2
"Buffalo","MiamiOhio",1,"Mid-American",2,2
"Buffalo","Rutgers",0,"Mid-American",2,2
"Buffalo","Kent",1,"Mid-American",2,2
"Buffalo","Syracuse",0,"Mid-American",2,2
"California",NA,NA,"Pacific Ten",2,2
"CentralFlorida","LouisianaMonroe",0,"Independents",2,2
"CentralFlorida","LouisianaTech",0,"Independents",2,2
"CentralFlorida","GeorgiaTech",0,"Independents",2,2
"CentralFlorida","EasternMichigan",0,"Independents",2,2
"CentralMichigan","Purdue",0,"Mid-American",2,2
"CentralMichigan","EasternMichigan",1,"Mid-American",2,2
"CentralMichigan","Ohio",1,"Mid-American",2,2
"CentralMichigan","Kent",1,"Mid-American",2,2
"CentralMichigan","Toledo",1,"Mid-American",2,2
"Cincinnati","AlabamaBirmingham",1,"Conference USA",2,2
"Cincinnati","Indiana",0,"Conference USA",2,2
"Clemson","WakeForest",1,"Atlantic Coast",2,2
"Clemson","Maryland",1,"Atlantic Coast",2,2
"Colorado","Nebraska",1,"Big Twelve",2,2
"Colorado","OklahomaState",1,"Big Twelve",2,2
"Colorado","Washington",0,"Big Twelve",2,2
"Colorado","Texas",1,"Big Twelve",2,2
"Colorado","ColoradoState",0,"Big Twelve",2,2
"Colorado","Missouri",1,"Big Twelve",2,2
"Colorado","TexasA&M",1,"Big Twelve",2,2
"Colorado","IowaState",1,"Big Twelve",2,2
"Colorado","Kansas",1,"Big Twelve",2,2
"ColoradoState","NevadaLasVegas",1,"Mountain West",2,2
"ColoradoState","AirForce",1,"Mountain West",2,2
"ColoradoState","Nevada",0,"Mountain West",2,2
"Connecticut","MiddleTennesseeState",0,"Independents",2,2
"Connecticut","Louisville",0,"Independents",2,2
"Connecticut","EasternMichigan",0,"Independents",2,2
"Duke","Maryland",1,"Atlantic Coast",2,2
"Duke","WakeForest",1,"Atlantic Coast",2,2
"Duke","Vanderbilt",0,"Atlantic Coast",2,2
"Duke","Clemson",1,"Atlantic Coast",2,2
"Duke","NorthCarolina",1,"Atlantic Coast",2,2
"EastCarolina","Army",1,"Conference USA",2,2
"EastCarolina","Houston",1,"Conference USA",2,2
"EastCarolina","SouthernMississippi",1,"Conference USA",2,2
"EastCarolina","Tulane",1,"Conference USA",2,2
"EastCarolina","Duke",0,"Conference USA",2,2
"EastCarolina","Memphis",1,"Conference USA",2,2
"EastCarolina","AlabamaBirmingham",1,"Conference USA",2,2
"EastCarolina","Louisville",1,"Conference USA",2,2
"EasternMichigan","MiamiOhio",1,"Mid-American",2,2
"EasternMichigan","Temple",0,"Mid-American",2,2
"EasternMichigan","Toledo",1,"Mid-American",2,2
"EasternMichigan","SouthCarolina",0,"Mid-American",2,2
"Florida","MiddleTennesseeState",0,"Southeastern",2,2
"Florida","MississippiState",1,"Southeastern",2,2
"Florida","SouthCarolina",1,"Southeastern",2,2
"Florida","Georgia",1,"Southeastern",2,2
"Florida","Tennessee",1,"Southeastern",2,2
"Florida","Vanderbilt",1,"Southeastern",2,2
"Florida","LouisianaState",1,"Southeastern",2,2
"Florida","Kentucky",1,"Southeastern",2,2
"FloridaState","Duke",1,"Atlantic Coast",2,2
"FloridaState","NorthCarolinaState",1,"Atlantic Coast",2,2
"FloridaState","Clemson",1,"Atlantic Coast",2,2
"FloridaState","GeorgiaTech",1,"Atlantic Coast",2,2
"FloridaState","Florida",0,"Atlantic Coast",2,2
"FloridaState","WakeForest",1,"Atlantic Coast",2,2
"FloridaState","Louisville",0,"Atlantic Coast",2,2
"FloridaState","Virginia",1,"Atlantic Coast",2,2
"FloridaState","MiamiFlorida",0,"Atlantic Coast",2,2
