"","X1","X2","count","plot_order"
"1","1","1",1,6
"2","2","3",1,6
"3","2","16",1,6
"4","3","2",1,6
"5","3","5",1,6
"6","4","4",1,6
"7","5",NA,1,6
"8","6","12",1,6
"9","7","7",1,6
"10","8",NA,1,6
"11","9","9",1,6
"12","10","10",1,6
"13","11","14",1,6
"14","12","6",1,6
"15","13","13",1,6
"16","14","8",1,6
"17","14","11",1,6
"18","15","15",1,6
"19","16","2",1,6
"20","1","2",2,4
"21","2","1",2,4
"22","2","12",2,4
"23","3","2",2,4
"24","3","11",2,4
"25","4","5",2,4
"26","5",NA,2,4
"27","6","6",2,4
"28","7","10",2,4
"29","8","10",2,4
"30","9","9",2,4
"31","10","8",2,4
"32","10","11",2,4
"33","11","3",2,4
"34","11","10",2,4
"35","12","2",2,4
"36","13","13",2,4
"37","14","14",2,4
"38","15","5",2,4
"39","16","16",2,4
"40","1","1",3,3
"41","2",NA,3,3
"42","3","12",3,3
"43","4","4",3,3
"44","5","5",3,3
"45","6","14",3,3
"46","7","10",3,3
"47","8","2",3,3
"48","9","12",3,3
"49","10","7",3,3
"50","10","11",3,3
"51","11","10",3,3
"52","12","3",3,3
"53","12","9",3,3
"54","13","15",3,3
"55","14","6",3,3
"56","15","13",3,3
"57","16","3",3,3
"58","1","1",4,9
"59","2","12",4,9
"60","2","13",4,9
"61","3","5",4,9
"62","4","11",4,9
"63","5",NA,4,9
"64","6","13",4,9
"65","7","7",4,9
"66","8","10",4,9
"67","8","16",4,9
"68","9","11",4,9
"69","10","2",4,9
"70","10","8",4,9
"71","11","4",4,9
"72","12","2",4,9
"73","13","6",4,9
"74","14","14",4,9
"75","15","3",4,9
"76","16","8",4,9
"77","1","1",5,5
"78","2","13",5,5
"79","3","6",5,5
"80","4","5",5,5
"81","4","7",5,5
"82","5","2",5,5
"83","5","15",5,5
"84","6","3",5,5
"85","6","12",5,5
"86","7",NA,5,5
"87","8","8",5,5
"88","9","14",5,5
"89","9","15",5,5
"90","10","10",5,5
"91","11","6",5,5
"92","11","14",5,5
"93","12","6",5,5
"94","12","13",5,5
"95","12","14",5,5
"96","13","2",5,5
"97","13","12",5,5
"98","14","2",5,5
"99","14","9",5,5
"100","14","11",5,5
"101","15","5",5,5
"102","16","16",5,5
"103","1","1",6,7
"104","2","2",6,7
"105","3","4",6,7
"106","4","3",6,7
"107","5",NA,6,7
"108","6","13",6,7
"109","7","7",6,7
"110","8","9",6,7
"111","9","8",6,7
"112","10","8",6,7
"113","11","12",6,7
"114","11","14",6,7
"115","12",NA,6,7
"116","13","5",6,7
"117","13","6",6,7
"118","14",NA,6,7
"119","15","15",6,7
"120","16","16",6,7
"121","1","1",7,2
"122","2","3",7,2
"123","3",NA,7,2
"124","4",NA,7,2
"125","5","4",7,2
"126","6",NA,7,2
"127","7","4",7,2
"128","7","11",7,2
"129","8","9",7,2
"130","8","11",7,2
"131","9",NA,7,2
"132","10","10",7,2
"133","11","7",7,2
"134","11","8",7,2
"135","12","13",7,2
"136","13","12",7,2
"137","13","14",7,2
"138","14","13",7,2
"139","15","15",7,2
"140","16","6",7,2
"141","1","1",8,8
"142","2",NA,8,8
"143","3","15",8,8
"144","4",NA,8,8
"145","5","4",8,8
"146","6","12",8,8
"147","7","7",8,8
"148","8","4",8,8
"149","9","9",8,8
"150","10","2",8,8
"151","10","11",8,8
"152","11","10",8,8
"153","12","13",8,8
"154","13","12",8,8
"155","14","11",8,8
"156","15","3",8,8
"157","16","11",8,8
"158","1","1",9,1
"159","2","3",9,1
"160","2","13",9,1
"161","3","2",9,1
"162","4","4",9,1
"163","5","2",9,1
"164","6","12",9,1
"165","7","7",9,1
"166","8","9",9,1
"167","8","10",9,1
"168","9","5",9,1
"169","9","8",9,1
"170","10",NA,9,1
"171","11","10",9,1
"172","12","6",9,1
"173","12","13",9,1
"174","13","2",9,1
"175","13","6",9,1
"176","13","12",9,1
"177","14","6",9,1
"178","15","15",9,1
"179","16","16",9,1
