"","X1","X2","count","plot_order"
"1","1",NA,1,8
"2","2","3",1,8
"3","3","15",1,8
"4","4","5",1,8
"5","5","4",1,8
"6","6","6",1,8
"7","7","11",1,8
"8","8","11",1,8
"9","9","9",1,8
"10","10","11",1,8
"11","11","7",1,8
"12","11","8",1,8
"13","11","10",1,8
"14","12","3",1,8
"15","13","13",1,8
"16","14","14",1,8
"17","15","1",1,8
"18","15","3",1,8
"19","16","2",1,8
"20","1","1",2,10
"21","2","3",2,10
"22","3","2",2,10
"23","4","4",2,10
"24","5","5",2,10
"25","6","8",2,10
"26","6","10",2,10
"27","6","12",2,10
"28","7","10",2,10
"29","8","6",2,10
"30","9","14",2,10
"31","10","6",2,10
"32","10","7",2,10
"33","11","11",2,10
"34","12","6",2,10
"35","13","13",2,10
"36","14",NA,2,10
"37","15","15",2,10
"38","16","16",2,10
"39","1","1",3,3
"40","2","2",3,3
"41","3",NA,3,3
"42","4","4",3,3
"43","5","5",3,3
"44","6","12",3,3
"45","7","10",3,3
"46","8","9",3,3
"47","8","11",3,3
"48","9","8",3,3
"49","10","7",3,3
"50","10","11",3,3
"51","10","14",3,3
"52","11","8",3,3
"53","11","10",3,3
"54","12",NA,3,3
"55","13","13",3,3
"56","14","3",3,3
"57","15","15",3,3
"58","16","16",3,3
"59","1","16",4,1
"60","2","3",4,1
"61","3","2",4,1
"62","4","5",4,1
"63","5",NA,4,1
"64","6","13",4,1
"65","7","15",4,1
"66","8","9",4,1
"67","9","8",4,1
"68","10","10",4,1
"69","11","14",4,1
"70","12","12",4,1
"71","13","6",4,1
"72","14","11",4,1
"73","15","16",4,1
"74","16","1",4,1
"75","16","15",4,1
"76","1","7",5,4
"77","2","8",5,4
"78","3","6",5,4
"79","4","7",5,4
"80","5","12",5,4
"81","6","3",5,4
"82","6","12",5,4
"83","7","1",5,4
"84","7","10",5,4
"85","8","2",5,4
"86","8","9",5,4
"87","9","8",5,4
"88","10","7",5,4
"89","11","10",5,4
"90","12","3",5,4
"91","12","6",5,4
"92","12","13",5,4
"93","13",NA,5,4
"94","14","16",5,4
"95","15","9",5,4
"96","16","14",5,4
"97","1","1",6,6
"98","2","3",6,6
"99","3","2",6,6
"100","3","6",6,6
"101","3","15",6,6
"102","4","9",6,6
"103","5",NA,6,6
"104","6","12",6,6
"105","7","11",6,6
"106","8","8",6,6
"107","9",NA,6,6
"108","10","7",6,6
"109","11","7",6,6
"110","12","6",6,6
"111","12","14",6,6
"112","13","13",6,6
"113","14","5",6,6
"114","14","12",6,6
"115","15","3",6,6
"116","16","16",6,6
"117","1","1",7,5
"118","2","3",7,5
"119","3","2",7,5
"120","4","4",7,5
"121","5","5",7,5
"122","6","6",7,5
"123","7","13",7,5
"124","7","14",7,5
"125","8","9",7,5
"126","9","8",7,5
"127","10","11",7,5
"128","11","10",7,5
"129","11","16",7,5
"130","12","12",7,5
"131","13","7",7,5
"132","14","7",7,5
"133","14","11",7,5
"134","15","15",7,5
"135","16","11",7,5
"136","1","1",8,11
"137","2","3",8,11
"138","2","10",8,11
"139","3","2",8,11
"140","4","4",8,11
"141","5","10",8,11
"142","6","6",8,11
"143","7","10",8,11
"144","8","9",8,11
"145","8","13",8,11
"146","9",NA,8,11
"147","10","7",8,11
"148","11","16",8,11
"149","12","12",8,11
"150","13",NA,8,11
"151","14","14",8,11
"152","15","15",8,11
"153","16",NA,8,11
"154","1","1",9,7
"155","2","3",9,7
"156","2","12",9,7
"157","3","2",9,7
"158","3","7",9,7
"159","4","5",9,7
"160","5","4",9,7
"161","5","6",9,7
"162","6","5",9,7
"163","7","3",9,7
"164","7","10",9,7
"165","8","11",9,7
"166","9","4",9,7
"167","10","7",9,7
"168","10","11",9,7
"169","11","8",9,7
"170","11","10",9,7
"171","12","2",9,7
"172","12","13",9,7
"173","12","15",9,7
"174","13","12",9,7
"175","14","7",9,7
"176","15","12",9,7
"177","16","16",9,7
"178","1","7",10,12
"179","2","3",10,12
"180","2","6",10,12
"181","3","2",10,12
"182","4","5",10,12
"183","5","4",10,12
"184","6","2",10,12
"185","6","3",10,12
"186","6","12",10,12
"187","7","1",10,12
"188","7","10",10,12
"189","7","11",10,12
"190","8","9",10,12
"191","9","8",10,12
"192","9","14",10,12
"193","10",NA,10,12
"194","11","10",10,12
"195","11","14",10,12
"196","12","13",10,12
"197","12","14",10,12
"198","13","12",10,12
"199","14","12",10,12
"200","15","15",10,12
"201","16","16",10,12
"202","1","3",11,9
"203","1","4",11,9
"204","1","11",11,9
"205","2","2",11,9
"206","3","1",11,9
"207","3","15",11,9
"208","4","1",11,9
"209","5","9",11,9
"210","6","13",11,9
"211","7",NA,11,9
"212","8","13",11,9
"213","9","5",11,9
"214","10","7",11,9
"215","11","1",11,9
"216","12","13",11,9
"217","13","6",11,9
"218","13","12",11,9
"219","13","14",11,9
"220","14",NA,11,9
"221","15","3",11,9
"222","15","8",11,9
"223","16","16",11,9
"224","1","1",12,2
"225","2","3",12,2
"226","3","2",12,2
"227","4","4",12,2
"228","5","9",12,2
"229","6","6",12,2
"230","7","7",12,2
"231","8","11",12,2
"232","9","5",12,2
"233","10","10",12,2
"234","11","8",12,2
"235","12",NA,12,2
"236","13","12",12,2
"237","14","14",12,2
"238","15","15",12,2
"239","16","16",12,2
