"","X1","X2","count","plot_order"
"1","1","13",1,2
"2","2","2",1,2
"3","3","12",1,2
"4","4","15",1,2
"5","5","5",1,2
"6","6","9",1,2
"7","6","12",1,2
"8","7","10",1,2
"9","8","15",1,2
"10","9","6",1,2
"11","10","7",1,2
"12","11","10",1,2
"13","11","14",1,2
"14","12","3",1,2
"15","12","6",1,2
"16","13",NA,1,2
"17","14","11",1,2
"18","14","16",1,2
"19","15","4",1,2
"20","15","8",1,2
"21","16","14",1,2
"22","1","1",2,5
"23","2","5",2,5
"24","2","11",2,5
"25","2","13",2,5
"26","3","2",2,5
"27","4","5",2,5
"28","4","16",2,5
"29","5","2",2,5
"30","5","4",2,5
"31","6","6",2,5
"32","7","7",2,5
"33","8","8",2,5
"34","9","9",2,5
"35","10","10",2,5
"36","11","2",2,5
"37","11","5",2,5
"38","12",NA,2,5
"39","13","2",2,5
"40","13","12",2,5
"41","14","14",2,5
"42","15","15",2,5
"43","16","4",2,5
"44","1","16",3,12
"45","2","3",3,12
"46","3",NA,3,12
"47","4","12",3,12
"48","5","5",3,12
"49","6","13",3,12
"50","7","9",3,12
"51","7","10",3,12
"52","8","8",3,12
"53","9","7",3,12
"54","9","11",3,12
"55","10","7",3,12
"56","11",NA,3,12
"57","12","4",3,12
"58","12","13",3,12
"59","13","4",3,12
"60","13","6",3,12
"61","13","12",3,12
"62","14","14",3,12
"63","15","15",3,12
"64","16",NA,3,12
"65","1","8",4,9
"66","2","3",4,9
"67","3","2",4,9
"68","3","10",4,9
"69","4","5",4,9
"70","5","4",4,9
"71","6","12",4,9
"72","6","13",4,9
"73","7","7",4,9
"74","8",NA,4,9
"75","9","11",4,9
"76","10","3",4,9
"77","11","9",4,9
"78","11","13",4,9
"79","11","14",4,9
"80","12","6",4,9
"81","12","13",4,9
"82","12","15",4,9
"83","13","6",4,9
"84","13","11",4,9
"85","13","12",4,9
"86","14","11",4,9
"87","15",NA,4,9
"88","16","16",4,9
"89","1","16",5,4
"90","2","5",5,4
