"","X1","X2","count","plot_order"
"1","1","7",1,1
"2","2","13",1,1
"3","3","3",1,1
"4","4","10",1,1
"5","5","5",1,1
"6","6",NA,1,1
"7","7","1",1,1
"8","8","10",1,1
"9","9","9",1,1
"10","10","8",1,1
"11","10","11",1,1
"12","10","14",1,1
"13","11","10",1,1
"14","11","14",1,1
"15","12","6",1,1
"16","12","13",1,1
"17","13","2",1,1
"18","13","12",1,1
"19","14","10",1,1
"20","14","11",1,1
"21","15","15",1,1
"22","16","16",1,1
"23","1","1",2,3
"24","2","7",2,3
"25","2","12",2,3
"26","2","13",2,3
"27","3","3",2,3
"28","4","5",2,3
"29","5","4",2,3
"30","6","12",2,3
"31","7","2",2,3
"32","8","11",2,3
"33","9","9",2,3
"34","10","14",2,3
"35","11","8",2,3
"36","12","2",2,3
"37","12","6",2,3
"38","12","13",2,3
"39","13","2",2,3
"40","14","10",2,3
"41","14","11",2,3
"42","15","15",2,3
"43","16","16",2,3
"44","1","1",3,2
"45","2","5",3,2
"46","2","10",3,2
"47","3","3",3,2
"48","4","5",3,2
"49","5","2",3,2
"50","5","4",3,2
"51","6",NA,3,2
"52","7",NA,3,2
"53","8","2",3,2
"54","8","9",3,2
"55","8","11",3,2
"56","9","8",3,2
"57","10","2",3,2
"58","10","7",3,2
"59","11","8",3,2
"60","12","6",3,2
"61","12","13",3,2
"62","13","12",3,2
"63","14","14",3,2
"64","15","15",3,2
"65","16","16",3,2
