"filename","plot_order","jtt","m","rep","model"
"smallfriends-eff2-m-12-rep-1.csv",1,0,"12","1","smallfriends-eff2"
"smallfriends-eff2-m-12-rep-1.csv",2,3,"12","1","smallfriends-eff2"
"smallfriends-eff2-m-12-rep-1.csv",3,0,"12","1","smallfriends-eff2"
"smallfriends-eff2-m-12-rep-1.csv",4,3,"12","1","smallfriends-eff2"
"smallfriends-eff2-m-12-rep-1.csv",5,6,"12","1","smallfriends-eff2"
"smallfriends-eff2-m-12-rep-1.csv",6,0,"12","1","smallfriends-eff2"
"smallfriends-eff2-m-12-rep-1.csv",7,0,"12","1","smallfriends-eff2"
"smallfriends-eff2-m-12-rep-1.csv",8,0,"12","1","smallfriends-eff2"
"smallfriends-eff2-m-12-rep-1.csv",9,0,"12","1","smallfriends-eff2"
"smallfriends-eff2-m-12-rep-1.csv",10,0,"12","1","smallfriends-eff2"
"smallfriends-eff2-m-12-rep-1.csv",11,0,"12","1","smallfriends-eff2"
"smallfriends-eff2-m-12-rep-1.csv",12,0,"12","1","smallfriends-eff2"
"smallfriends-eff2-m-12-rep-10.csv",1,0,"12","10","smallfriends-eff2"
"smallfriends-eff2-m-12-rep-10.csv",2,3,"12","10","smallfriends-eff2"
"smallfriends-eff2-m-12-rep-10.csv",3,6,"12","10","smallfriends-eff2"
"smallfriends-eff2-m-12-rep-10.csv",4,0,"12","10","smallfriends-eff2"
"smallfriends-eff2-m-12-rep-10.csv",5,12,"12","10","smallfriends-eff2"
"smallfriends-eff2-m-12-rep-10.csv",6,0,"12","10","smallfriends-eff2"
"smallfriends-eff2-m-12-rep-10.csv",7,0,"12","10","smallfriends-eff2"
"smallfriends-eff2-m-12-rep-10.csv",8,3,"12","10","smallfriends-eff2"
"smallfriends-eff2-m-12-rep-10.csv",9,0,"12","10","smallfriends-eff2"
"smallfriends-eff2-m-12-rep-10.csv",10,3,"12","10","smallfriends-eff2"
"smallfriends-eff2-m-12-rep-10.csv",11,1,"12","10","smallfriends-eff2"
"smallfriends-eff2-m-12-rep-10.csv",12,6,"12","10","smallfriends-eff2"
"smallfriends-eff2-m-12-rep-11.csv",1,0,"12","11","smallfriends-eff2"
"smallfriends-eff2-m-12-rep-11.csv",2,3,"12","11","smallfriends-eff2"
"smallfriends-eff2-m-12-rep-11.csv",3,3,"12","11","smallfriends-eff2"
"smallfriends-eff2-m-12-rep-11.csv",4,1,"12","11","smallfriends-eff2"
"smallfriends-eff2-m-12-rep-11.csv",5,6,"12","11","smallfriends-eff2"
"smallfriends-eff2-m-12-rep-11.csv",6,7,"12","11","smallfriends-eff2"
"smallfriends-eff2-m-12-rep-11.csv",7,0,"12","11","smallfriends-eff2"
"smallfriends-eff2-m-12-rep-11.csv",8,6,"12","11","smallfriends-eff2"
"smallfriends-eff2-m-12-rep-11.csv",9,3,"12","11","smallfriends-eff2"
"smallfriends-eff2-m-12-rep-11.csv",10,0,"12","11","smallfriends-eff2"
"smallfriends-eff2-m-12-rep-11.csv",11,2,"12","11","smallfriends-eff2"
"smallfriends-eff2-m-12-rep-11.csv",12,6,"12","11","smallfriends-eff2"
"smallfriends-eff2-m-12-rep-12.csv",1,0,"12","12","smallfriends-eff2"
"smallfriends-eff2-m-12-rep-12.csv",2,6,"12","12","smallfriends-eff2"
"smallfriends-eff2-m-12-rep-12.csv",3,0,"12","12","smallfriends-eff2"
"smallfriends-eff2-m-12-rep-12.csv",4,0,"12","12","smallfriends-eff2"
"smallfriends-eff2-m-12-rep-12.csv",5,3,"12","12","smallfriends-eff2"
"smallfriends-eff2-m-12-rep-12.csv",6,0,"12","12","smallfriends-eff2"
"smallfriends-eff2-m-12-rep-12.csv",7,0,"12","12","smallfriends-eff2"
"smallfriends-eff2-m-12-rep-12.csv",8,0,"12","12","smallfriends-eff2"
"smallfriends-eff2-m-12-rep-12.csv",9,3,"12","12","smallfriends-eff2"
"smallfriends-eff2-m-12-rep-12.csv",10,0,"12","12","smallfriends-eff2"
"smallfriends-eff2-m-12-rep-12.csv",11,3,"12","12","smallfriends-eff2"
"smallfriends-eff2-m-12-rep-12.csv",12,0,"12","12","smallfriends-eff2"
"smallfriends-eff2-m-12-rep-13.csv",1,0,"12","13","smallfriends-eff2"
"smallfriends-eff2-m-12-rep-13.csv",2,2,"12","13","smallfriends-eff2"
"smallfriends-eff2-m-12-rep-13.csv",3,0,"12","13","smallfriends-eff2"
"smallfriends-eff2-m-12-rep-13.csv",4,0,"12","13","smallfriends-eff2"
"smallfriends-eff2-m-12-rep-13.csv",5,0,"12","13","smallfriends-eff2"
"smallfriends-eff2-m-12-rep-13.csv",6,0,"12","13","smallfriends-eff2"
"smallfriends-eff2-m-12-rep-13.csv",7,0,"12","13","smallfriends-eff2"
"smallfriends-eff2-m-12-rep-13.csv",8,2,"12","13","smallfriends-eff2"
"smallfriends-eff2-m-12-rep-13.csv",9,0,"12","13","smallfriends-eff2"
"smallfriends-eff2-m-12-rep-13.csv",10,2,"12","13","smallfriends-eff2"
"smallfriends-eff2-m-12-rep-13.csv",11,0,"12","13","smallfriends-eff2"
"smallfriends-eff2-m-12-rep-13.csv",12,3,"12","13","smallfriends-eff2"
"smallfriends-eff2-m-12-rep-14.csv",1,1,"12","14","smallfriends-eff2"
"smallfriends-eff2-m-12-rep-14.csv",2,2,"12","14","smallfriends-eff2"
"smallfriends-eff2-m-12-rep-14.csv",3,6,"12","14","smallfriends-eff2"
