source,party,sex,111,112,113,114
Alan Stuart Franken,DEM,M,16,30,38,31
Amy Jean Klobuchar,DEM,F,53,61,72,61
Angus King,IND,M,NA,NA,13,17
Arlen Specter,DEM,M,114,NA,NA,NA
Barbara A. Mikulski,DEM,F,14,20,14,12
Barbara Boxer,DEM,F,57,50,55,37
Ben E. Nelson,DEM,M,17,12,NA,NA
Benjamin Eric Sasse,REP,M,NA,NA,NA,5
Benjamin L. Cardin,DEM,M,48,49,51,61
Bernard Sanders,IND,M,26,20,42,18
Bill Cassidy,REP,M,NA,NA,NA,32
Bill Nelson,DEM,M,46,34,38,37
Blanche Lambert Lincoln,DEM,F,68,NA,NA,NA
Bob Corker,REP,M,8,6,10,17
Brian Emanuel Schatz,DEM,M,NA,NA,18,29
Byron L. Dorgan,DEM,M,35,NA,NA,NA
Carl Levin,DEM,M,27,18,19,NA
Carte P. Goodwin,DEM,M,0,NA,NA,NA
Charles E. Grassley,REP,M,24,27,22,79
Charles E. Schumer,DEM,M,114,67,41,38
Chris Andrew Coons,DEM,M,0,22,39,35
Christopher J. Dodd,DEM,M,69,NA,NA,NA
Christopher S. Bond,REP,M,11,NA,NA,NA
Christopher S. Murphy,DEM,M,NA,NA,23,26
Claire McCaskill,DEM,F,20,17,22,14
Cory Anthony Booker,DEM,M,NA,NA,10,32
Cory Gardner,REP,M,NA,NA,NA,35
Dan Sullivan,REP,M,NA,NA,NA,14
Daniel K. Inouye,DEM,M,32,26,NA,NA
Daniel Kahikina Akaka,DEM,M,42,33,NA,NA
Daniel Ray Coats,REP,M,NA,4,11,9
David Perdue,REP,M,NA,NA,NA,8
David Vitter,REP,M,38,42,39,55
Dean Heller,REP,M,NA,14,31,43
Deb Fischer,REP,F,NA,NA,15,30
Debbie Ann Stabenow,DEM,F,46,34,25,32
Dianne Feinstein,DEM,F,67,48,40,51
Edward E. Kaufman,DEM,M,16,NA,NA,NA
Edward J. Markey,DEM,M,NA,NA,21,48
Edward M. Kennedy,DEM,M,14,NA,NA,NA
Elizabeth Warren,DEM,F,NA,NA,15,23
Evan Bayh,DEM,M,19,NA,NA,NA
Frank R. Lautenberg,DEM,M,49,52,26,NA
Gary C. Peters,DEM,M,NA,NA,NA,22
George S. LeMieux,REP,M,6,NA,NA,NA
George V. Voinovich,REP,M,47,NA,NA,NA
