born,district,icpsr,n_au,n_bills,n_co,na,nyears,party,sex,state,thomas,vertex.names
1951,NA,40904,16,258,242,FALSE,0,DEM,M,MN,01969,Alan Stuart Franken
1960,NA,40700,53,392,339,FALSE,0,DEM,F,MN,01826,Amy Jean Klobuchar
1930,NA,14910,114,420,306,FALSE,24,DEM,M,PA,01437,Arlen Specter
1936,NA,14440,14,252,238,FALSE,18,DEM,F,MD,00802,Barbara A. Mikulski
1940,NA,15011,57,427,370,FALSE,12,DEM,F,CA,00116,Barbara Boxer
1941,NA,40103,17,150,133,FALSE,6,DEM,M,NE,01627,Ben E. Nelson
1943,NA,15408,48,406,358,FALSE,0,DEM,M,MD,00174,Benjamin L. Cardin
1941,NA,29147,26,348,322,FALSE,0,IND,M,VT,01010,Bernard Sanders
1942,NA,14651,46,250,204,FALSE,6,DEM,M,FL,00859,Bill Nelson
1960,NA,29305,68,337,269,FALSE,6,DEM,F,AR,01570,Blanche Lambert Lincoln
1952,NA,40705,8,140,132,FALSE,0,REP,M,TN,01825,Bob Corker
1942,NA,14812,35,203,168,FALSE,13,DEM,M,ND,00308,Byron L. Dorgan
1934,NA,14709,27,264,237,FALSE,30,DEM,M,MI,01384,Carl Levin
1974,NA,40914,0,7,7,FALSE,0,DEM,M,WV,01980,Carte P. Goodwin
1933,NA,14226,24,208,184,FALSE,24,REP,M,IA,00457,Charles E. Grassley
1950,NA,14858,114,527,413,FALSE,6,DEM,M,NY,01036,Charles E. Schumer
1963,NA,40916,0,14,14,FALSE,0,DEM,M,DE,01984,Chris Andrew Coons
1944,NA,14213,69,363,294,FALSE,24,DEM,M,CT,00302,Christopher J. Dodd
1939,NA,15501,11,176,165,FALSE,18,REP,M,MO,01286,Christopher S. Bond
1953,NA,40701,20,196,176,FALSE,0,DEM,F,MO,01820,Claire McCaskill
1924,NA,4812,32,224,192,FALSE,42,DEM,M,HI,01369,Daniel K. Inouye
1924,NA,14400,42,231,189,FALSE,17,DEM,M,HI,00007,Daniel Kahikina Akaka
1961,NA,29918,38,278,240,FALSE,0,REP,M,LA,01609,David Vitter
1950,NA,29732,46,410,364,FALSE,6,DEM,F,MI,01531,Debbie Ann Stabenow
1933,NA,49300,67,355,288,FALSE,15,DEM,F,CA,01332,Dianne Feinstein
1939,NA,40901,16,206,190,FALSE,0,DEM,M,DE,01964,Edward E. Kaufman
1932,NA,10808,14,161,147,FALSE,45,DEM,M,MA,01377,Edward M. Kennedy
1955,NA,49901,19,226,207,FALSE,6,DEM,M,IN,01572,Evan Bayh
1924,NA,14914,49,366,317,FALSE,27,DEM,M,NJ,01381,Frank R. Lautenberg
1969,NA,40911,6,131,125,FALSE,0,REP,M,FL,01971,George S. LeMieux
1936,NA,49903,47,251,204,FALSE,6,REP,M,OH,01575,George V. Voinovich
1939,NA,15054,87,201,114,FALSE,18,DEM,M,NV,00952,Harry M. Reid
1935,NA,15703,41,173,132,FALSE,18,DEM,M,WI,01380,Herbert H. Kohl
1947,NA,40105,2,19,17,FALSE,6,DEM,F,NY,01631,Hillary Rodham Clinton
1934,NA,15424,23,222,199,FALSE,15,REP,M,OK,00583,James M. Inhofe
1943,NA,40902,4,205,201,FALSE,0,REP,M,ID,01896,James Risch
1947,NA,40906,24,276,252,FALSE,0,DEM,F,NH,01901,Jeanne Shaheen
1943,NA,14912,76,319,243,FALSE,24,DEM,M,NM,01285,Jeff Bingaman
1956,NA,40908,20,344,324,FALSE,0,DEM,M,OR,01900,Jeff Merkley
1946,NA,49700,7,133,126,FALSE,12,REP,M,AL,01548,Jefferson B. Sessions
1931,NA,15406,7,117,110,FALSE,6,REP,M,KY,00146,Jim Bunning
1951,NA,29936,18,110,92,FALSE,0,REP,M,SC,01605,Jim W. DeMint
1946,NA,40706,19,124,105,FALSE,0,DEM,M,VA,01822,Jim Webb
1947,NA,40915,0,1,1,FALSE,0,DEM,M,WV,01983,Joe Manchin III
1952,NA,40707,9,140,131,FALSE,0,REP,M,WY,01881,John A. Barrasso
1952,NA,40305,26,219,193,FALSE,7,REP,M,TX,01692,John Cornyn
1937,NA,14922,60,201,141,FALSE,24,DEM,M,WV,01424,John D. Rockefeller IV
1958,NA,29537,27,204,177,FALSE,6,REP,M,NV,00348,John Eric Ensign
1949,NA,29142,36,206,170,FALSE,12,DEM,M,RI,00949,John F. Reed
1943,NA,14920,97,516,419,FALSE,24,DEM,M,MA,01379,John Forbes Kerry
1944,NA,29909,17,277,260,FALSE,0,REP,M,GA,01608,John H. Isakson
1936,NA,15039,23,158,135,FALSE,18,REP,M,AZ,00754,John S. McCain
1961,NA,29754,18,199,181,FALSE,0,REP,M,SD,01534,John Thune
1942,NA,15429,6,119,113,FALSE,12,REP,M,AZ,00655,Jon Kyl
