shortName,type,inter1,estimate,se,Waldpval,refits,overallConverge
recip,eval,,3.49680830095969,0.213968009176261,0.000149565215063818,1,0.0994130066111434
recip,eval,,4.80711495126644,0.235192085778518,0.0681965048314495,4,0.207600300287414
recip,eval,,5.17142807602654,0.228523042783288,0.250797655253991,5,0.19695424799973
recip,eval,,3.81346965709328,0.205129769345667,0.641561893596904,5,0.182547320768513
recip,eval,,4.86138028994899,0.240831503391241,0.108077238639134,4,0.143252221597062
recip,eval,,4.86128882755784,0.250271147743476,0.0885836239022632,4,0.106633882398514
recip,eval,,4.82446127393711,0.235048727047301,0.00410929699628848,5,0.141185625789323
transTrip,eval,,1.10027492293171,0.579821962833698,0.0577477107613988,3,0.188255219713446
transMedTrip,eval,,1.48748487993857,0.88206352236553,0.0917246830586435,4,0.116753641320438
transRecTrip,eval,,-12.5197052446827,1250017.78631922,0.999992008690093,5,0.278116834117352
cycle3,eval,,-8.65429150572363,1293175.37478039,0.99999466033323,4,0.181108887863606
transTies,eval,,1.1016946254285,0.576994674369393,0.0562147569039798,3,0.245811068029112
between,eval,,-0.181567260656969,0.225176717862596,0.420051271546981,5,0.252782221831547
balance,eval,,-0.199296291242858,0.0667214071770254,0.00281737346594024,4,0.028704861993443
nbrDist2,eval,,-0.102527290161874,0.147687957002986,0.487546983376012,5,0.107063639902276
nbrDist2twice,eval,,-8.64590715038571,507022.838178685,0.999986394230576,4,0.24672640453771
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
,,,0,0,0,0,0
