"sim","from","to","dep.var.id","wave","model","ord","clu","csize"
-1,"V1","V88",1,1,"altjttsx-5",2,1,7
-1,"V1","V97",1,1,"altjttsx-5",2,1,7
-1,"V1","V102",1,1,"altjttsx-5",2,1,7
-1,"V2",NA,NA,1,"altjttsx-5",2,45,1
-1,"V3",NA,NA,1,"altjttsx-5",2,52,1
-1,"V4",NA,NA,1,"altjttsx-5",2,27,2
-1,"V5",NA,NA,1,"altjttsx-5",2,63,1
-1,"V6","V37",1,1,"altjttsx-5",2,33,6
-1,"V7","V56",1,1,"altjttsx-5",2,9,7
-1,"V7","V107",1,1,"altjttsx-5",2,9,7
-1,"V8","V57",1,1,"altjttsx-5",2,21,3
-1,"V9","V21",1,1,"altjttsx-5",2,28,8
-1,"V10","V109",1,1,"altjttsx-5",2,2,2
-1,"V11",NA,NA,1,"altjttsx-5",2,11,1
-1,"V12",NA,NA,1,"altjttsx-5",2,20,1
-1,"V13",NA,NA,1,"altjttsx-5",2,29,2
-1,"V14","V89",1,1,"altjttsx-5",2,34,4
-1,"V14","V139",1,1,"altjttsx-5",2,34,4
-1,"V15","V106",1,1,"altjttsx-5",2,8,3
-1,"V16",NA,NA,1,"altjttsx-5",2,43,1
-1,"V17","V36",1,1,"altjttsx-5",2,33,6
-1,"V18","V63",1,1,"altjttsx-5",2,30,7
-1,"V19",NA,NA,1,"altjttsx-5",2,44,2
-1,"V20",NA,NA,1,"altjttsx-5",2,46,1
-1,"V21","V48",1,1,"altjttsx-5",2,28,8
-1,"V22",NA,NA,1,"altjttsx-5",2,47,1
-1,"V23","V25",1,1,"altjttsx-5",2,9,7
-1,"V24",NA,NA,1,"altjttsx-5",2,48,1
-1,"V25","V23",1,1,"altjttsx-5",2,9,7
-1,"V26",NA,NA,1,"altjttsx-5",2,49,1
-1,"V27","V84",1,1,"altjttsx-5",2,23,4
-1,"V28",NA,NA,1,"altjttsx-5",2,50,1
-1,"V29",NA,NA,1,"altjttsx-5",2,51,1
-1,"V30","V52",1,1,"altjttsx-5",2,7,3
-1,"V31",NA,NA,1,"altjttsx-5",2,53,1
-1,"V32",NA,NA,1,"altjttsx-5",2,54,1
-1,"V33","V100",1,1,"altjttsx-5",2,3,2
-1,"V34",NA,NA,1,"altjttsx-5",2,55,1
-1,"V35","V73",1,1,"altjttsx-5",2,26,5
-1,"V36","V17",1,1,"altjttsx-5",2,33,6
-1,"V37","V138",1,1,"altjttsx-5",2,33,6
-1,"V38",NA,NA,1,"altjttsx-5",2,56,1
-1,"V39",NA,NA,1,"altjttsx-5",2,57,1
-1,"V40","V72",1,1,"altjttsx-5",2,58,2
-1,"V41","V142",1,1,"altjttsx-5",2,13,3
-1,"V42","V121",1,1,"altjttsx-5",2,22,3
-1,"V43",NA,NA,1,"altjttsx-5",2,26,5
-1,"V44",NA,NA,1,"altjttsx-5",2,59,1
-1,"V45",NA,NA,1,"altjttsx-5",2,60,1
-1,"V46",NA,NA,1,"altjttsx-5",2,61,1
-1,"V47",NA,NA,1,"altjttsx-5",2,38,2
-1,"V48",NA,NA,1,"altjttsx-5",2,28,8
-1,"V49",NA,NA,1,"altjttsx-5",2,62,1
-1,"V50",NA,NA,1,"altjttsx-5",2,28,8
-1,"V51",NA,NA,1,"altjttsx-5",2,64,1
-1,"V52","V30",1,1,"altjttsx-5",2,7,3
-1,"V52","V105",1,1,"altjttsx-5",2,7,3
-1,"V53","V82",1,1,"altjttsx-5",2,41,5
-1,"V53","V154",1,1,"altjttsx-5",2,41,5
-1,"V54","V154",1,1,"altjttsx-5",2,41,5
-1,"V55","V19",1,1,"altjttsx-5",2,44,2
-1,"V56",NA,NA,1,"altjttsx-5",2,9,7
-1,"V57","V120",1,1,"altjttsx-5",2,21,3
-1,"V58","V125",1,1,"altjttsx-5",2,25,2
-1,"V59","V133",1,1,"altjttsx-5",2,31,2
-1,"V60",NA,NA,1,"altjttsx-5",2,65,1
-1,"V61","V90",1,1,"altjttsx-5",2,30,7
-1,"V61","V147",1,1,"altjttsx-5",2,30,7
-1,"V62",NA,NA,1,"altjttsx-5",2,66,1
-1,"V63","V76",1,1,"altjttsx-5",2,30,7
-1,"V64","V27",1,1,"altjttsx-5",2,23,4
-1,"V65",NA,NA,1,"altjttsx-5",2,6,2
-1,"V66",NA,NA,1,"altjttsx-5",2,67,1
-1,"V67",NA,NA,1,"altjttsx-5",2,34,4
-1,"V68","V131",1,1,"altjttsx-5",2,12,5
-1,"V69",NA,NA,1,"altjttsx-5",2,68,1
-1,"V70",NA,NA,1,"altjttsx-5",2,32,2
-1,"V71","V138",1,1,"altjttsx-5",2,33,6
-1,"V72","V40",1,1,"altjttsx-5",2,58,2
-1,"V73","V43",1,1,"altjttsx-5",2,26,5
-1,"V73","V136",1,1,"altjttsx-5",2,26,5
-1,"V74",NA,NA,1,"altjttsx-5",2,40,2
-1,"V75",NA,NA,1,"altjttsx-5",2,69,1
-1,"V76","V147",1,1,"altjttsx-5",2,30,7
-1,"V77",NA,NA,1,"altjttsx-5",2,70,1
-1,"V78",NA,NA,1,"altjttsx-5",2,71,1
-1,"V79",NA,NA,1,"altjttsx-5",2,72,1
-1,"V80",NA,NA,1,"altjttsx-5",2,73,1
-1,"V81",NA,NA,1,"altjttsx-5",2,74,1
-1,"V82","V53",1,1,"altjttsx-5",2,41,5
-1,"V83",NA,NA,1,"altjttsx-5",2,75,1
-1,"V84","V27",1,1,"altjttsx-5",2,23,4
-1,"V85","V48",1,1,"altjttsx-5",2,28,8
-1,"V86","V54",1,1,"altjttsx-5",2,41,5
-1,"V87","V101",1,1,"altjttsx-5",2,4,2
-1,"V88","V1",1,1,"altjttsx-5",2,1,7
-1,"V89","V14",1,1,"altjttsx-5",2,34,4
-1,"V89","V67",1,1,"altjttsx-5",2,34,4
-1,"V90","V61",1,1,"altjttsx-5",2,30,7
-1,"V90","V130",1,1,"altjttsx-5",2,30,7
-1,"V91",NA,NA,1,"altjttsx-5",2,76,1
-1,"V92",NA,NA,1,"altjttsx-5",2,77,1
-1,"V93","V108",1,1,"altjttsx-5",2,10,4
-1,"V93","V116",1,1,"altjttsx-5",2,10,4
-1,"V94",NA,NA,1,"altjttsx-5",2,78,1
-1,"V95","V106",1,1,"altjttsx-5",2,8,3
-1,"V96",NA,NA,1,"altjttsx-5",2,12,5
-1,"V97","V1",1,1,"altjttsx-5",2,1,7
-1,"V98",NA,NA,1,"altjttsx-5",2,79,1
-1,"V99",NA,NA,1,"altjttsx-5",2,80,1
-1,"V100",NA,NA,1,"altjttsx-5",2,3,2
-1,"V101",NA,NA,1,"altjttsx-5",2,4,2
-1,"V102","V149",1,1,"altjttsx-5",2,1,7
-1,"V103",NA,NA,1,"altjttsx-5",2,5,1
-1,"V104","V65",1,1,"altjttsx-5",2,6,2
-1,"V105","V52",1,1,"altjttsx-5",2,7,3
-1,"V106","V15",1,1,"altjttsx-5",2,8,3
-1,"V106","V95",1,1,"altjttsx-5",2,8,3
-1,"V107","V7",1,1,"altjttsx-5",2,9,7
-1,"V108","V122",1,1,"altjttsx-5",2,10,4
-1,"V109",NA,NA,1,"altjttsx-5",2,2,2
-1,"V110","V96",1,1,"altjttsx-5",2,12,5
-1,"V111",NA,NA,1,"altjttsx-5",2,13,3
-1,"V112",NA,NA,1,"altjttsx-5",2,14,1
-1,"V113","V135",1,1,"altjttsx-5",2,15,2
-1,"V114",NA,NA,1,"altjttsx-5",2,16,1
-1,"V115","V107",1,1,"altjttsx-5",2,9,7
-1,"V116",NA,NA,1,"altjttsx-5",2,10,4
-1,"V117",NA,NA,1,"altjttsx-5",2,17,1
-1,"V118",NA,NA,1,"altjttsx-5",2,18,1
-1,"V119",NA,NA,1,"altjttsx-5",2,19,1
-1,"V120","V57",1,1,"altjttsx-5",2,21,3
-1,"V121","V42",1,1,"altjttsx-5",2,22,3
-1,"V122",NA,NA,1,"altjttsx-5",2,10,4
-1,"V123","V84",1,1,"altjttsx-5",2,23,4
-1,"V124",NA,NA,1,"altjttsx-5",2,24,1
-1,"V125","V58",1,1,"altjttsx-5",2,25,2
-1,"V126","V73",1,1,"altjttsx-5",2,26,5
-1,"V127","V42",1,1,"altjttsx-5",2,22,3
-1,"V128","V4",1,1,"altjttsx-5",2,27,2
-1,"V129","V50",1,1,"altjttsx-5",2,28,8
-1,"V129","V145",1,1,"altjttsx-5",2,28,8
-1,"V130",NA,NA,1,"altjttsx-5",2,30,7
-1,"V131","V96",1,1,"altjttsx-5",2,12,5
-1,"V132","V23",1,1,"altjttsx-5",2,9,7
-1,"V132","V56",1,1,"altjttsx-5",2,9,7
-1,"V133",NA,NA,1,"altjttsx-5",2,31,2
-1,"V134","V102",1,1,"altjttsx-5",2,1,7
-1,"V135","V113",1,1,"altjttsx-5",2,15,2
-1,"V136","V73",1,1,"altjttsx-5",2,26,5
-1,"V137","V70",1,1,"altjttsx-5",2,32,2
-1,"V138","V17",1,1,"altjttsx-5",2,33,6
-1,"V138","V71",1,1,"altjttsx-5",2,33,6
-1,"V139",NA,NA,1,"altjttsx-5",2,34,4
-1,"V140","V13",1,1,"altjttsx-5",2,29,2
-1,"V141","V131",1,1,"altjttsx-5",2,12,5
-1,"V142","V111",1,1,"altjttsx-5",2,13,3
-1,"V143",NA,NA,1,"altjttsx-5",2,35,1
-1,"V144","V88",1,1,"altjttsx-5",2,1,7
