"lineupname","M","rep","id","pres_order","filename","cat","answer"
"smallfriends",3,17,1,"M","smallfriends-m-3-rep-17.csv","noa_noc","3"
"smallfriends",6,6,2,"P","smallfriends-m-6-rep-6.csv","noa_c","6"
"smallfriends",9,8,3,"N","smallfriends-m-9-rep-8.csv","a_c","8"
"smallfriends",12,4,4,"L","smallfriends-m-12-rep-4.csv","a_noc","1"
"smallfriends",16,16,5,"J","smallfriends-m-16-rep-16.csv","noa_noc","2"
"smallfriends-rev",3,7,6,"F","smallfriends-rev-m-3-rep-7.csv","noa_c","2"
"smallfriends-rev",6,18,7,"B","smallfriends-rev-m-6-rep-18.csv","a_c","4"
"smallfriends-rev",9,3,8,"Q","smallfriends-rev-m-9-rep-3.csv","a_noc","9"
"smallfriends-rev",12,14,9,"I","smallfriends-rev-m-12-rep-14.csv","noa_noc","5"
"smallfriends-rev",16,3,10,"G","smallfriends-rev-m-16-rep-3.csv","noa_c","3"
"smallfriends-eff2",3,10,11,"C","smallfriends-eff2-m-3-rep-10.csv","a_c","3"
"smallfriends-eff2",6,5,12,"K","smallfriends-eff2-m-6-rep-5.csv","a_noc","3"
"smallfriends-eff2",9,7,13,"O","smallfriends-eff2-m-9-rep-7.csv","noa_noc","5"
"smallfriends-eff2",12,11,14,"S","smallfriends-eff2-m-12-rep-11.csv","noa_c","3"
"smallfriends-eff2",16,4,15,"H","smallfriends-eff2-m-16-rep-4.csv","a_c","1"
"smallfriends-eff2-rev",3,4,16,"D","smallfriends-eff2-rev-m-3-rep-4.csv","a_noc","1"
"smallfriends-eff2-rev",6,17,17,"E","smallfriends-eff2-rev-m-6-rep-17.csv","noa_noc","4"
"smallfriends-eff2-rev",9,5,18,"R","smallfriends-eff2-rev-m-9-rep-5.csv","noa_c","5"
"smallfriends-eff2-rev",12,7,19,"T","smallfriends-eff2-rev-m-12-rep-7.csv","a_c","2"
"smallfriends-eff2-rev",16,14,20,"A","smallfriends-eff2-rev-m-16-rep-14.csv","a_noc","6"
