"ip_address","nick_name","start_time","end_time","pic_id","response_no","conf_level","choice_reason","description"
NA,"A321AGEY23DDEH",1469733083.85133,1469733089.21247,14,"1","Very Uncertain","Least Complex Structure","turk21"
NA,"A7KLTVEIASF4J",1469733084.07972,1469733089.47084,14,"1","Very Uncertain","Least Complex Structure","turk21"
NA,"A1FMCJY3HXP0SA",1469733063.05808,1469733091.73713,1,"2","Certain","Other, only one with bigger than a triangle","turk21"
NA,"A3O3X4G41BPMJR",1469733083.92955,1469733092.71135,14,"10","Certain","Least Complex Structure","turk21"
NA,"A7KLTVEIASF4J",1469733089.54855,1469733093.73832,24,"2","Neutral","Most Complex Structure","turk21"
NA,"A321AGEY23DDEH",1469733089.28716,1469733094.67679,24,"4","Very Uncertain","Least Complex Structure","turk21"
NA,"A7KLTVEIASF4J",1469733093.78597,1469733103.21342,11,"7","Very Uncertain","Least Complex Structure","turk21"
NA,"A321AGEY23DDEH",1469733094.72495,1469733105.18029,11,"8","Very Uncertain","Least Complex Structure","turk21"
NA,"A3O3X4G41BPMJR",1469733092.75414,1469733105.5883,24,"9","Neutral","Least Complex Structure","turk21"
NA,"A321AGEY23DDEH",1469733105.23768,1469733110.36039,21,"3","Very Uncertain","Least Complex Structure","turk21"
NA,"A7KLTVEIASF4J",1469733103.26336,1469733111.30648,21,"5","Very Uncertain","Most Complex Structure","turk21"
NA,"APZEIAO75NCHM",1469733088.95199,1469733111.92403,14,"6","Very Uncertain","Most Complex Structure","turk21"
NA,"A321AGEY23DDEH",1469733110.40579,1469733115.57443,3,"4","Very Uncertain","Least Complex Structure","turk21"
NA,"A3O3X4G41BPMJR",1469733105.63423,1469733118.1272,11,"8","Certain","Least Complex Structure","turk21"
NA,"A7KLTVEIASF4J",1469733111.34978,1469733118.46194,3,"8","Very Uncertain","Least Complex Structure","turk21"
NA,"A321AGEY23DDEH",1469733115.6158,1469733120.71341,23,"8","Very Uncertain","Least Complex Structure","turk21"
NA,"A2DFKPLWP01UF3",1469733115.97011,1469733123.03362,8,"2,7,9","Certain","Least Complex Structure","turk21"
NA,"A3O3X4G41BPMJR",1469733118.19587,1469733123.84401,21,"5","Certain","Most Complex Structure","turk21"
NA,"A7KLTVEIASF4J",1469733118.50706,1469733124.78927,23,"6","Very Uncertain","Least Complex Structure","turk21"
NA,"A321AGEY23DDEH",1469733120.76453,1469733126.50336,9,"3","Very Uncertain","Least Complex Structure","turk21"
NA,"A2DFKPLWP01UF3",1469733123.08167,1469733129.66579,24,"5,8,11,6","Uncertain","Most Complex Structure","turk21"
NA,"A3O3X4G41BPMJR",1469733123.88922,1469733132.905,3,"8","Neutral","Least Complex Structure","turk21"
NA,"A321AGEY23DDEH",1469733126.54876,1469733133.33513,17,"5","Very Uncertain","Most Complex Structure","turk21"
NA,"APZEIAO75NCHM",1469733112.09749,1469733139.52253,24,"12","Very Uncertain","Most Complex Structure","turk21"
NA,"A2DFKPLWP01UF3",1469733129.71393,1469733139.94297,3,"2,7,8,9","Certain","Least Complex Structure","turk21"
NA,"A3O3X4G41BPMJR",1469733132.95385,1469733140.94141,23,"2","Certain","Most Complex Structure","turk21"
NA,"A7KLTVEIASF4J",1469733124.86629,1469733143.36752,9,"3","Very Uncertain","Least Complex Structure","turk21"
NA,"A2DFKPLWP01UF3",1469733139.99344,1469733145.55409,25,"2,3,7,9,11","Neutral","Least Complex Structure","turk21"
NA,"APZEIAO75NCHM",1469733139.69895,1469733150.84155,11,"6","Very Uncertain","Most Complex Structure","turk21"
NA,"A321AGEY23DDEH",1469733133.40923,1469733152.19193,5,"2","Very Uncertain","Least Complex Structure","turk21"
NA,"A3O3X4G41BPMJR",1469733140.9863,1469733153.94054,9,"12","Certain","Most Complex Structure","turk21"
NA,"APZEIAO75NCHM",1469733150.92326,1469733156.84677,21,"1","Very Uncertain","Least Complex Structure","turk21"
NA,"A321AGEY23DDEH",1469733152.25313,1469733156.97836,25,"5","Very Uncertain","Least Complex Structure","turk21"
NA,"A7KLTVEIASF4J",1469733143.40709,1469733157.14835,17,"6","Very Uncertain","Least Complex Structure","turk21"
NA,"A2DFKPLWP01UF3",1469733145.61139,1469733161.44523,13,"2,8,6","Neutral","Least Complex Structure","turk21"
NA,"A7KLTVEIASF4J",1469733157.24067,1469733162.91488,5,"11","Very Uncertain","Least Complex Structure","turk21"
NA,"A3O3X4G41BPMJR",1469733153.98779,1469733165.15209,17,"5","Neutral","Most Complex Structure","turk21"
NA,"A2DFKPLWP01UF3",1469733161.49784,1469733165.60672,14,"2,7,4,10","Uncertain","Least Complex Structure","turk21"
NA,"A7KLTVEIASF4J",1469733162.96213,1469733166.72449,25,"5","Very Uncertain","Most Complex Structure","turk21"
NA,"A3O3X4G41BPMJR",1469733165.22521,1469733171.61426,5,"3","Certain","Least Complex Structure","turk21"
NA,"A2DFKPLWP01UF3",1469733165.69805,1469733172.0841,10,"1,8,4,10","Neutral","Most Complex Structure","turk21"
NA,"A3O3X4G41BPMJR",1469733171.68391,1469733176.84438,25,"2","Neutral","Least Complex Structure","turk21"
NA,"A2DFKPLWP01UF3",1469733172.13192,1469733177.00471,20,"3,4,6,10","Uncertain","Most Complex Structure","turk21"
NA,"A1FMCJY3HXP0SA",1469733091.77921,1469733178.74031,24,"12","Uncertain","Most Complex Structure","turk21"
NA,"A2DFKPLWP01UF3",1469733177.04549,1469733184.25513,21,"7,5,10","Uncertain","Most Complex Structure","turk21"
NA,"A2DFKPLWP01UF3",1469733184.30162,1469733188.75562,23,"2,3,4,9,6","Neutral","Most Complex Structure","turk21"
