"nick_name","age","gender","academic_study","ip_address"
"A1FMCJY3HXP0SA","31-35","Female","Undergraduate Degree",NA
"A7KLTVEIASF4J","18-25","Male","Some Undergraduate Courses",NA
"A3O3X4G41BPMJR","18-25","Male","Some Undergraduate Courses",NA
"A1MMXVKCYK6QCH","18-25","Male","Some Undergraduate Courses",NA
"A1UGD2VEVSML1U","18-25","Male","Graduate Degree",NA
"APZEIAO75NCHM","26-30","Male","Undergraduate Degree",NA
"A321AGEY23DDEH","26-30","Male","Graduate Degree",NA
"AFDC9A6Z60W2Z","41-45","Male","Some Undergraduate Courses",NA
"A1W5PUJ4372XO7","Over 60","Male","Some Undergraduate Courses",NA
"A2VYHR3SR63DV8","18-25","Female","Undergraduate Degree",NA
"A1E4K9G6ZKPKX4","26-30","Male","Some Undergraduate Courses",NA
"A2DFKPLWP01UF3","26-30","Female","Graduate Degree",NA
"A1R6ZLM9V362F7","31-35","Male","Undergraduate Degree",NA
"A2KMQKPX0JAYGC","26-30","Female","Graduate Degree",NA
"AVI7K876BV3QL","56-60","Female","High School or Less",NA
"A2P065E9CYMYJL","26-30","Male","High School or Less",NA
"A25CFVQND4A0EV","18-25","Male","High School or Less",NA
"A2OFN0A5CPLH57","31-35","Female","Undergraduate Degree",NA
"A34930YXVQ8SUT","36-40","Male","Undergraduate Degree",NA
"AQL960O0LTRI8","36-40","Male","Some Undergraduate Courses",NA
"A15V8K8M4TXT9Y","26-30","Male","Some Graduate Courses",NA
"A1WDUICI1FG9F","18-25","Male","Undergraduate Degree",NA
"AUI3R928P63B0","31-35","Male","Graduate Degree",NA
"A36662QQDZ9J3R","41-45","Male","Undergraduate Degree",NA
"A1H72Y9Z5NJXDS","36-40","Female","Some Undergraduate Courses",NA
"ACIHCWKHNFC7U","26-30","Male","Undergraduate Degree",NA
"ANTH5IGN5CHN6","31-35","Male","Graduate Degree",NA
"A20Z8Q65CFTBV7","26-30","Female","Some Undergraduate Courses",NA
"A15V8K8M4TXT9Y","26-30","Male","Some Graduate Courses",NA
"A1TMZLYXQAK8Q0","36-40","Male","Some Undergraduate Courses",NA
"A32LKID224C6YY","18-25","Male","Graduate Degree",NA
"AA5OOUN82FYES","31-35","Female","Undergraduate Degree",NA
"AJXIC6Q5EM76P","56-60","Male","High School or Less",NA
"A3PKRRJR7IXFY7","26-30","Male","Some Undergraduate Courses",NA
"A2R9OK4M877ZCC","26-30","Male","Undergraduate Degree",NA
"A1OHEMT3EJ2EWP","51-55","Male","Graduate Degree",NA
"A2WAQ89S9G6FXQ","46-50","Female","High School or Less",NA
"AGZ3O3151C4NN","26-30","Male","Graduate Degree",NA
"A15V8K8M4TXT9Y","26-30","Male","Some Graduate Courses",NA
"A2IABGWWDKRQS3","18-25","Male","Undergraduate Degree",NA
"a1wxpolds1y9r4","26-30","Male","Some Graduate Courses",NA
"A2AJ5QFNC9KF43","36-40","Male","Graduate Degree",NA
"A1KGCOR8OXYR72","26-30","Male","Undergraduate Degree",NA
"A2IABGWWDKRQS3","18-25","Male","Undergraduate Degree",NA
"A1GV0UZU0T2ORS","26-30","Male","Undergraduate Degree",NA
"A1VZSFHTU51JP0","31-35","Male","High School or Less",NA
"ADTIO3A6TM9CG","18-25","Male","Some Graduate Courses",NA
"A2RB4WF5CDMEL9","Over 60","Female","Undergraduate Degree",NA
"A3FLABU9SS5W88","18-25","Male","Graduate Degree",NA
"ADTIO3A6TM9CG","18-25","Male","Some Undergraduate Courses",NA
