"from","to","dep.var.id","wave","sim","model","ord"
"V1","V88",1,1,-1,"altdensity0.8",3
"V2","V5",1,1,-1,"altdensity0.8",3
"V3",NA,NA,1,-1,"altdensity0.8",3
"V4","V57",1,1,-1,"altdensity0.8",3
"V4","V128",1,1,-1,"altdensity0.8",3
"V5","V2",1,1,-1,"altdensity0.8",3
"V5","V9",1,1,-1,"altdensity0.8",3
"V5","V133",1,1,-1,"altdensity0.8",3
"V6","V22",1,1,-1,"altdensity0.8",3
"V6","V37",1,1,-1,"altdensity0.8",3
"V7","V27",1,1,-1,"altdensity0.8",3
"V7","V107",1,1,-1,"altdensity0.8",3
"V8",NA,NA,1,-1,"altdensity0.8",3
"V9","V5",1,1,-1,"altdensity0.8",3
"V10","V79",1,1,-1,"altdensity0.8",3
"V11","V71",1,1,-1,"altdensity0.8",3
"V12","V103",1,1,-1,"altdensity0.8",3
"V13","V120",1,1,-1,"altdensity0.8",3
"V14","V89",1,1,-1,"altdensity0.8",3
"V15",NA,NA,1,-1,"altdensity0.8",3
"V16","V53",1,1,-1,"altdensity0.8",3
"V17","V36",1,1,-1,"altdensity0.8",3
"V17","V88",1,1,-1,"altdensity0.8",3
"V18","V122",1,1,-1,"altdensity0.8",3
"V19",NA,NA,1,-1,"altdensity0.8",3
"V20","V88",1,1,-1,"altdensity0.8",3
"V21",NA,NA,1,-1,"altdensity0.8",3
"V22","V72",1,1,-1,"altdensity0.8",3
"V22","V80",1,1,-1,"altdensity0.8",3
"V23","V25",1,1,-1,"altdensity0.8",3
"V23","V53",1,1,-1,"altdensity0.8",3
"V23","V105",1,1,-1,"altdensity0.8",3
"V24",NA,NA,1,-1,"altdensity0.8",3
"V25","V23",1,1,-1,"altdensity0.8",3
"V25","V93",1,1,-1,"altdensity0.8",3
"V26",NA,NA,1,-1,"altdensity0.8",3
"V27",NA,NA,1,-1,"altdensity0.8",3
"V28","V124",1,1,-1,"altdensity0.8",3
"V29","V23",1,1,-1,"altdensity0.8",3
"V30",NA,NA,1,-1,"altdensity0.8",3
"V31","V50",1,1,-1,"altdensity0.8",3
"V31","V58",1,1,-1,"altdensity0.8",3
"V32","V70",1,1,-1,"altdensity0.8",3
"V32","V125",1,1,-1,"altdensity0.8",3
"V33","V61",1,1,-1,"altdensity0.8",3
"V33","V129",1,1,-1,"altdensity0.8",3
"V34",NA,NA,1,-1,"altdensity0.8",3
"V35",NA,NA,1,-1,"altdensity0.8",3
"V36","V17",1,1,-1,"altdensity0.8",3
"V36","V133",1,1,-1,"altdensity0.8",3
"V36","V137",1,1,-1,"altdensity0.8",3
"V37","V6",1,1,-1,"altdensity0.8",3
"V37","V99",1,1,-1,"altdensity0.8",3
"V38",NA,NA,1,-1,"altdensity0.8",3
"V39","V79",1,1,-1,"altdensity0.8",3
"V40",NA,NA,1,-1,"altdensity0.8",3
"V41",NA,NA,1,-1,"altdensity0.8",3
"V42",NA,NA,1,-1,"altdensity0.8",3
"V43","V127",1,1,-1,"altdensity0.8",3
"V44","V34",1,1,-1,"altdensity0.8",3
"V45","V124",1,1,-1,"altdensity0.8",3
"V46","V140",1,1,-1,"altdensity0.8",3
"V47","V67",1,1,-1,"altdensity0.8",3
"V47","V110",1,1,-1,"altdensity0.8",3
"V48","V96",1,1,-1,"altdensity0.8",3
"V49",NA,NA,1,-1,"altdensity0.8",3
"V50",NA,NA,1,-1,"altdensity0.8",3
"V51","V61",1,1,-1,"altdensity0.8",3
"V51","V117",1,1,-1,"altdensity0.8",3
