"from","to","dep.var.id","wave","sim","model","ord"
"V1",NA,NA,1,-1,"altreciprocity1.4",5
"V2","V140",1,1,-1,"altreciprocity1.4",5
"V3","V102",1,1,-1,"altreciprocity1.4",5
"V4","V133",1,1,-1,"altreciprocity1.4",5
"V5","V9",1,1,-1,"altreciprocity1.4",5
"V5","V84",1,1,-1,"altreciprocity1.4",5
"V6","V37",1,1,-1,"altreciprocity1.4",5
"V6","V148",1,1,-1,"altreciprocity1.4",5
"V7","V107",1,1,-1,"altreciprocity1.4",5
"V8",NA,NA,1,-1,"altreciprocity1.4",5
"V9","V5",1,1,-1,"altreciprocity1.4",5
"V9","V155",1,1,-1,"altreciprocity1.4",5
"V10","V114",1,1,-1,"altreciprocity1.4",5
"V11",NA,NA,1,-1,"altreciprocity1.4",5
"V12","V97",1,1,-1,"altreciprocity1.4",5
"V12","V103",1,1,-1,"altreciprocity1.4",5
"V12","V104",1,1,-1,"altreciprocity1.4",5
"V12","V113",1,1,-1,"altreciprocity1.4",5
"V13","V113",1,1,-1,"altreciprocity1.4",5
"V13","V120",1,1,-1,"altreciprocity1.4",5
"V13","V145",1,1,-1,"altreciprocity1.4",5
"V14","V81",1,1,-1,"altreciprocity1.4",5
"V14","V89",1,1,-1,"altreciprocity1.4",5
"V15","V20",1,1,-1,"altreciprocity1.4",5
"V15","V54",1,1,-1,"altreciprocity1.4",5
"V16",NA,NA,1,-1,"altreciprocity1.4",5
"V17","V36",1,1,-1,"altreciprocity1.4",5
"V17","V124",1,1,-1,"altreciprocity1.4",5
"V18","V20",1,1,-1,"altreciprocity1.4",5
"V19","V36",1,1,-1,"altreciprocity1.4",5
"V20","V18",1,1,-1,"altreciprocity1.4",5
"V20","V88",1,1,-1,"altreciprocity1.4",5
"V21",NA,NA,1,-1,"altreciprocity1.4",5
"V22","V80",1,1,-1,"altreciprocity1.4",5
"V23","V25",1,1,-1,"altreciprocity1.4",5
"V23","V29",1,1,-1,"altreciprocity1.4",5
"V24","V21",1,1,-1,"altreciprocity1.4",5
"V25","V23",1,1,-1,"altreciprocity1.4",5
"V26","V70",1,1,-1,"altreciprocity1.4",5
"V27",NA,NA,1,-1,"altreciprocity1.4",5
"V28","V84",1,1,-1,"altreciprocity1.4",5
"V29","V23",1,1,-1,"altreciprocity1.4",5
"V30","V152",1,1,-1,"altreciprocity1.4",5
"V31",NA,NA,1,-1,"altreciprocity1.4",5
"V32",NA,NA,1,-1,"altreciprocity1.4",5
"V33","V61",1,1,-1,"altreciprocity1.4",5
"V33","V102",1,1,-1,"altreciprocity1.4",5
"V34","V29",1,1,-1,"altreciprocity1.4",5
"V35",NA,NA,1,-1,"altreciprocity1.4",5
"V36","V17",1,1,-1,"altreciprocity1.4",5
"V36","V137",1,1,-1,"altreciprocity1.4",5
"V37","V6",1,1,-1,"altreciprocity1.4",5
"V37","V119",1,1,-1,"altreciprocity1.4",5
"V38",NA,NA,1,-1,"altreciprocity1.4",5
"V39","V124",1,1,-1,"altreciprocity1.4",5
"V40","V72",1,1,-1,"altreciprocity1.4",5
"V41","V62",1,1,-1,"altreciprocity1.4",5
"V41","V71",1,1,-1,"altreciprocity1.4",5
"V42",NA,NA,1,-1,"altreciprocity1.4",5
"V43","V14",1,1,-1,"altreciprocity1.4",5
"V44",NA,NA,1,-1,"altreciprocity1.4",5
"V45","V73",1,1,-1,"altreciprocity1.4",5
"V46","V60",1,1,-1,"altreciprocity1.4",5
"V46","V140",1,1,-1,"altreciprocity1.4",5
"V47","V66",1,1,-1,"altreciprocity1.4",5
"V47","V97",1,1,-1,"altreciprocity1.4",5
"V47","V110",1,1,-1,"altreciprocity1.4",5
"V48",NA,NA,1,-1,"altreciprocity1.4",5
