"from","to","dep.var.id","wave","sim","model","ord"
"V1",NA,NA,1,1,"samettpx4",5
"V2",NA,NA,1,1,"samettpx4",5
"V3","V37",1,1,1,"samettpx4",5
"V4","V128",1,1,1,"samettpx4",5
"V5","V9",1,1,1,"samettpx4",5
"V6","V16",1,1,1,"samettpx4",5
"V6","V37",1,1,1,"samettpx4",5
"V7","V107",1,1,1,"samettpx4",5
"V7","V143",1,1,1,"samettpx4",5
"V8","V101",1,1,1,"samettpx4",5
"V9","V5",1,1,1,"samettpx4",5
"V10",NA,NA,1,1,"samettpx4",5
"V11",NA,NA,1,1,"samettpx4",5
"V12","V103",1,1,1,"samettpx4",5
"V13","V113",1,1,1,"samettpx4",5
"V14","V60",1,1,1,"samettpx4",5
"V14","V89",1,1,1,"samettpx4",5
"V15",NA,NA,1,1,"samettpx4",5
"V16","V37",1,1,1,"samettpx4",5
"V17","V36",1,1,1,"samettpx4",5
"V17","V130",1,1,1,"samettpx4",5
"V18",NA,NA,1,1,"samettpx4",5
"V19","V15",1,1,1,"samettpx4",5
"V20","V68",1,1,1,"samettpx4",5
"V20","V88",1,1,1,"samettpx4",5
"V20","V124",1,1,1,"samettpx4",5
"V21",NA,NA,1,1,"samettpx4",5
"V22","V80",1,1,1,"samettpx4",5
"V23","V25",1,1,1,"samettpx4",5
"V24","V3",1,1,1,"samettpx4",5
"V25","V23",1,1,1,"samettpx4",5
"V25","V147",1,1,1,"samettpx4",5
"V26",NA,NA,1,1,"samettpx4",5
"V27",NA,NA,1,1,"samettpx4",5
"V28",NA,NA,1,1,"samettpx4",5
"V29",NA,NA,1,1,"samettpx4",5
"V30",NA,NA,1,1,"samettpx4",5
"V31",NA,NA,1,1,"samettpx4",5
"V32",NA,NA,1,1,"samettpx4",5
"V33","V61",1,1,1,"samettpx4",5
"V33","V100",1,1,1,"samettpx4",5
"V33","V129",1,1,1,"samettpx4",5
"V33","V145",1,1,1,"samettpx4",5
"V34",NA,NA,1,1,"samettpx4",5
"V35","V13",1,1,1,"samettpx4",5
"V36","V17",1,1,1,"samettpx4",5
"V36","V130",1,1,1,"samettpx4",5
"V37","V6",1,1,1,"samettpx4",5
"V37","V16",1,1,1,"samettpx4",5
"V38","V52",1,1,1,"samettpx4",5
"V39","V151",1,1,1,"samettpx4",5
"V40",NA,NA,1,1,"samettpx4",5
"V41",NA,NA,1,1,"samettpx4",5
"V42",NA,NA,1,1,"samettpx4",5
"V43",NA,NA,1,1,"samettpx4",5
"V44","V20",1,1,1,"samettpx4",5
"V45","V61",1,1,1,"samettpx4",5
"V45","V90",1,1,1,"samettpx4",5
"V45","V147",1,1,1,"samettpx4",5
"V46",NA,NA,1,1,"samettpx4",5
"V47",NA,NA,1,1,"samettpx4",5
"V48",NA,NA,1,1,"samettpx4",5
"V49","V48",1,1,1,"samettpx4",5
"V50",NA,NA,1,1,"samettpx4",5
"V51","V61",1,1,1,"samettpx4",5
"V51","V90",1,1,1,"samettpx4",5
"V51","V147",1,1,1,"samettpx4",5
"V52","V97",1,1,1,"samettpx4",5
"V52","V105",1,1,1,"samettpx4",5
"V53","V82",1,1,1,"samettpx4",5
"V54",NA,NA,1,1,"samettpx4",5
"V55",NA,NA,1,1,"samettpx4",5
"V56","V132",1,1,1,"samettpx4",5
"V57","V58",1,1,1,"samettpx4",5
"V57","V120",1,1,1,"samettpx4",5
"V57","V133",1,1,1,"samettpx4",5
"V58","V57",1,1,1,"samettpx4",5
"V58","V120",1,1,1,"samettpx4",5
"V59",NA,NA,1,1,"samettpx4",5
"V60","V14",1,1,1,"samettpx4",5
"V60","V89",1,1,1,"samettpx4",5
"V61","V45",1,1,1,"samettpx4",5
"V61","V90",1,1,1,"samettpx4",5
"V61","V147",1,1,1,"samettpx4",5
"V62","V98",1,1,1,"samettpx4",5
"V63",NA,NA,1,1,"samettpx4",5
"V64",NA,NA,1,1,"samettpx4",5
"V65","V48",1,1,1,"samettpx4",5
"V66",NA,NA,1,1,"samettpx4",5
"V67","V75",1,1,1,"samettpx4",5
