"from","to","dep.var.id","wave","sim","model","ord"
"V1","V20",1,1,1,"samettpx3",5
"V1","V40",1,1,1,"samettpx3",5
"V1","V88",1,1,1,"samettpx3",5
"V2",NA,NA,1,1,"samettpx3",5
"V3",NA,NA,1,1,"samettpx3",5
"V4",NA,NA,1,1,"samettpx3",5
"V5","V9",1,1,1,"samettpx3",5
"V5","V103",1,1,1,"samettpx3",5
"V6","V37",1,1,1,"samettpx3",5
"V7","V3",1,1,1,"samettpx3",5
"V8","V143",1,1,1,"samettpx3",5
"V9","V5",1,1,1,"samettpx3",5
"V9","V103",1,1,1,"samettpx3",5
"V10",NA,NA,1,1,"samettpx3",5
"V11","V96",1,1,1,"samettpx3",5
"V12","V103",1,1,1,"samettpx3",5
"V13","V120",1,1,1,"samettpx3",5
"V14","V80",1,1,1,"samettpx3",5
"V15",NA,NA,1,1,"samettpx3",5
"V16","V73",1,1,1,"samettpx3",5
"V17","V125",1,1,1,"samettpx3",5
"V18",NA,NA,1,1,"samettpx3",5
"V19",NA,NA,1,1,"samettpx3",5
"V20","V1",1,1,1,"samettpx3",5
"V20","V88",1,1,1,"samettpx3",5
"V21","V135",1,1,1,"samettpx3",5
"V22","V80",1,1,1,"samettpx3",5
"V22","V154",1,1,1,"samettpx3",5
"V23","V57",1,1,1,"samettpx3",5
"V23","V120",1,1,1,"samettpx3",5
"V24","V66",1,1,1,"samettpx3",5
"V25",NA,NA,1,1,"samettpx3",5
"V26",NA,NA,1,1,"samettpx3",5
"V27",NA,NA,1,1,"samettpx3",5
"V28",NA,NA,1,1,"samettpx3",5
"V29","V30",1,1,1,"samettpx3",5
"V29","V63",1,1,1,"samettpx3",5
"V30","V29",1,1,1,"samettpx3",5
"V30","V63",1,1,1,"samettpx3",5
"V31",NA,NA,1,1,"samettpx3",5
"V32",NA,NA,1,1,"samettpx3",5
"V33","V36",1,1,1,"samettpx3",5
"V34",NA,NA,1,1,"samettpx3",5
"V35",NA,NA,1,1,"samettpx3",5
"V36","V17",1,1,1,"samettpx3",5
"V36","V33",1,1,1,"samettpx3",5
"V37","V6",1,1,1,"samettpx3",5
"V37","V136",1,1,1,"samettpx3",5
"V38",NA,NA,1,1,"samettpx3",5
"V39",NA,NA,1,1,"samettpx3",5
"V40",NA,NA,1,1,"samettpx3",5
"V41",NA,NA,1,1,"samettpx3",5
"V42",NA,NA,1,1,"samettpx3",5
"V43",NA,NA,1,1,"samettpx3",5
"V44",NA,NA,1,1,"samettpx3",5
"V45",NA,NA,1,1,"samettpx3",5
"V46","V60",1,1,1,"samettpx3",5
"V46","V140",1,1,1,"samettpx3",5
"V47",NA,NA,1,1,"samettpx3",5
"V48",NA,NA,1,1,"samettpx3",5
"V49","V124",1,1,1,"samettpx3",5
"V50","V113",1,1,1,"samettpx3",5
"V51","V61",1,1,1,"samettpx3",5
"V51","V147",1,1,1,"samettpx3",5
"V52",NA,NA,1,1,"samettpx3",5
"V53",NA,NA,1,1,"samettpx3",5
"V54","V85",1,1,1,"samettpx3",5
"V55",NA,NA,1,1,"samettpx3",5
"V56",NA,NA,1,1,"samettpx3",5
"V57","V13",1,1,1,"samettpx3",5
"V57","V23",1,1,1,"samettpx3",5
"V57","V120",1,1,1,"samettpx3",5
"V58",NA,NA,1,1,"samettpx3",5
"V59",NA,NA,1,1,"samettpx3",5
"V60",NA,NA,1,1,"samettpx3",5
"V61","V90",1,1,1,"samettpx3",5
"V61","V147",1,1,1,"samettpx3",5
"V62","V98",1,1,1,"samettpx3",5
"V63","V30",1,1,1,"samettpx3",5
"V64","V71",1,1,1,"samettpx3",5
"V65",NA,NA,1,1,"samettpx3",5
"V66","V57",1,1,1,"samettpx3",5
"V67","V83",1,1,1,"samettpx3",5
"V68",NA,NA,1,1,"samettpx3",5
