pic_id,test_param,param_value,data_name,notes
1131,jttp,5,jttp_pos_easy_1.csv,redo completely
1132,jttp,5,jttp_pos_easy_2.csv,redo completely
1133,jttp,5,jttp_pos_easy_3.csv,redo completely
2131,jttp,3,jttp_pos_med_1.csv,redo completely
2132,jttp,3,jttp_pos_med_2.csv,redo completely
2133,jttp,3,jttp_pos_med_3.csv,redo completely
1241,jtts,NA,jtts_neg_easy_1.csv,redo completely
1242,jtts,NA,jtts_neg_easy_2.csv,redo completely
1243,jtts,NA,jtts_neg_easy_3.csv,redo completely
3241,jtts,NA,jtts_neg_hard_1.csv,old 2241
3242,jtts,NA,jtts_neg_hard_2.csv,old 2242
3243,jtts,NA,jtts_neg_hard_3.csv,new nulls old 2243
2241,jtts,NA,jtts_neg_med_1.csv,old 1241
2242,jtts,NA,jtts_neg_med_2.csv,old 1242
2243,jtts,NA,jtts_neg_med_3.csv,old 1243
1141,jtts,2,jtts_pos_easy_1.csv,new nulls
2141,jtts,1.5,jtts_pos_med_1.csv,new nulls
2221,recip,0.0001,recip_neg_med_1.csv,redo completely
2222,recip,0.0001,recip_neg_med_2.csv,redo completely
2223,recip,0.0001,recip_neg_med_3.csv,redo completely
2252,simttb,-2,simttb_neg_med_2.csv,redo completely
3151,simttb,1.6,simttb_pos_hard_1.csv,redo completely
3152,simttb,1.6,simttb_pos_hard_2.csv,redo completely
3153,simttb,1.6,simttb_pos_hard_3.csv,redo completely
1134,jttp,5,jttp_pos_easy_4.csv,redo completely
2134,jttp,3,jttp_pos_med_4.csv,redo completely
3154,simttb,1.6,simttb_pos_hard_4.csv,redo completely
