pic_id,sample_size,test_param,param_value,p_value,obs_plot_location,pic_name,experiment,difficulty,data_name
1131,NA,jttp,5,NA,4,SenateLineupData/redos/svgs/file8c2013559f05.svg,turk22,NA,jttp_pos_easy_1.csv
1132,NA,jttp,5,NA,6,SenateLineupData/redos/svgs/file8c2048e777c9.svg,turk22,NA,jttp_pos_easy_2.csv
1133,NA,jttp,5,NA,6,SenateLineupData/redos/svgs/file8c2073bfa30.svg,turk22,NA,jttp_pos_easy_3.csv
2131,NA,jttp,3,NA,2,SenateLineupData/redos/svgs/file8c207227fe19.svg,turk22,NA,jttp_pos_med_1.csv
2132,NA,jttp,3,NA,1,SenateLineupData/redos/svgs/file8c20208172a4.svg,turk22,NA,jttp_pos_med_2.csv
2133,NA,jttp,3,NA,2,SenateLineupData/redos/svgs/file8c2046d2b4bd.svg,turk22,NA,jttp_pos_med_3.csv
1141,NA,jtts,2,NA,5,SenateLineupData/redos/svgs/file8c2040f9a41.svg,turk22,NA,jtts_pos_easy_1.csv
1241,NA,jtts,NA,NA,5,SenateLineupData/redos/svgs/file8c202b7920fd.svg,turk22,NA,jtts_neg_easy_1.csv
1242,NA,jtts,NA,NA,4,SenateLineupData/redos/svgs/file8c2083ca5df.svg,turk22,NA,jtts_neg_easy_2.csv
1243,NA,jtts,NA,NA,1,SenateLineupData/redos/svgs/file8c2022bcc4a.svg,turk22,NA,jtts_neg_easy_3.csv
2141,NA,jtts,1.5,NA,5,SenateLineupData/redos/svgs/file8c20319c2b02.svg,turk22,NA,jtts_pos_med_1.csv
2241,NA,jtts,NA,NA,2,SenateLineupData/redos/svgs/file8c207971f689.svg,turk22,NA,jtts_neg_med_1.csv
2242,NA,jtts,NA,NA,1,SenateLineupData/redos/svgs/file8c2054d148e1.svg,turk22,NA,jtts_neg_med_2.csv
2243,NA,jtts,NA,NA,5,SenateLineupData/redos/svgs/file8c2061bc4df0.svg,turk22,NA,jtts_neg_med_3.csv
3241,NA,jtts,NA,NA,3,SenateLineupData/redos/svgs/file8c201e13e6d9.svg,turk22,NA,jtts_neg_hard_1.csv
3242,NA,jtts,NA,NA,4,SenateLineupData/redos/svgs/file8c204d4e9b34.svg,turk22,NA,jtts_neg_hard_2.csv
3243,NA,jtts,NA,NA,3,SenateLineupData/redos/svgs/file8c20564dd5c.svg,turk22,NA,jtts_neg_hard_3.csv
2221,NA,recip,1.00E-04,NA,1,SenateLineupData/redos/svgs/file8c2068ce155c.svg,turk22,NA,recip_neg_med_1.csv
2222,NA,recip,1.00E-04,NA,2,SenateLineupData/redos/svgs/file8c207ced7025.svg,turk22,NA,recip_neg_med_2.csv
2223,NA,recip,1.00E-04,NA,4,SenateLineupData/redos/svgs/file8c205ab6c83.svg,turk22,NA,recip_neg_med_3.csv
2252,NA,simttb,-2,NA,6,SenateLineupData/redos/svgs/file8c20606ea39a.svg,turk22,NA,simttb_neg_med_2.csv
3151,NA,simttb,1.6,NA,3,SenateLineupData/redos/svgs/file8c203dee9703.svg,turk22,NA,simttb_pos_hard_1.csv
3152,NA,simttb,1.6,NA,3,SenateLineupData/redos/svgs/file8c2067bfa02f.svg,turk22,NA,simttb_pos_hard_2.csv
3153,NA,simttb,1.6,NA,1,SenateLineupData/redos/svgs/file8c2017c30f20.svg,turk22,NA,simttb_pos_hard_3.csv
