lineup_filename,group,group.rep,lineupname,M,rep,svgfilename,obs_plot_location
smallfriends-m-12-rep-18.csv,JTT,1,smallfriends,12,18,Lineup-Images/ForExperimentFinal/svgs/filebe7322537455.svg,8
smallfriends-m-12-rep-20.csv,JTT,2,smallfriends,12,20,Lineup-Images/ForExperimentFinal/svgs/filebe731cfc6fee.svg,10
smallfriends-m-12-rep-6.csv,JTT,3,smallfriends,12,6,Lineup-Images/ForExperimentFinal/svgs/filebe736c633df2.svg,6
smallfriends-m-12-rep-19.csv,JTT,4,smallfriends,12,19,Lineup-Images/ForExperimentFinal/svgs/filebe7345989f6a.svg,6
smallfriends-m-12-rep-3.csv,JTT,5,smallfriends,12,3,Lineup-Images/ForExperimentFinal/svgs/filebe735019f8c3.svg,6
smallfriends-m-12-rep-7.csv,M1 v M2,1,smallfriends,12,7,Lineup-Images/ForExperimentFinal/svgs/filebe736e287322.svg,12
smallfriends-m-12-rep-8.csv,M1 v M2,2,smallfriends,12,8,Lineup-Images/ForExperimentFinal/svgs/filebe73333ae77b.svg,5
smallfriends-m-12-rep-11.csv,M1 v M2,3,smallfriends,12,11,Lineup-Images/ForExperimentFinal/svgs/filebe736c60b80e.svg,12
smallfriends-m-12-rep-13.csv,M1 v M2,4,smallfriends,12,13,Lineup-Images/ForExperimentFinal/svgs/filebe7349f9e53b.svg,2
smallfriends-m-12-rep-4.csv,M1 v M2,5,smallfriends,12,4,Lineup-Images/ForExperimentFinal/svgs/filebe731088050d.svg,1
smallfriends-eff2-m-12-rep-17.csv,M1 v M3,1,smallfriends-eff2,12,17,Lineup-Images/ForExperimentFinal/svgs/filebe73321ba7a5.svg,7
smallfriends-eff2-m-12-rep-16.csv,M1 v M3,2,smallfriends-eff2,12,16,Lineup-Images/ForExperimentFinal/svgs/filebe73509a4e7.svg,7
smallfriends-eff2-m-12-rep-20.csv,M1 v M3,3,smallfriends-eff2,12,20,Lineup-Images/ForExperimentFinal/svgs/filebe7336f260bc.svg,4
smallfriends-eff2-m-12-rep-1.csv,M1 v M3,4,smallfriends-eff2,12,1,Lineup-Images/ForExperimentFinal/svgs/filebe73766c3aa2.svg,8
smallfriends-eff2-m-12-rep-12.csv,M1 v M3,5,smallfriends-eff2,12,12,Lineup-Images/ForExperimentFinal/svgs/filebe735f5bc171.svg,1
smallfriends-rev-m-12-rep-18.csv,M2 v M1,1,smallfriends-rev,12,18,Lineup-Images/ForExperimentFinal/svgs/filebe7340ffc868.svg,12
smallfriends-rev-m-12-rep-4.csv,M2 v M1,2,smallfriends-rev,12,4,Lineup-Images/ForExperimentFinal/svgs/filebe736b397be.svg,4
smallfriends-rev-m-12-rep-15.csv,M2 v M1,3,smallfriends-rev,12,15,Lineup-Images/ForExperimentFinal/svgs/filebe735cfca885.svg,6
smallfriends-rev-m-12-rep-2.csv,M2 v M1,4,smallfriends-rev,12,2,Lineup-Images/ForExperimentFinal/svgs/filebe73c08e44b.svg,12
smallfriends-rev-m-12-rep-20.csv,M2 v M1,5,smallfriends-rev,12,20,Lineup-Images/ForExperimentFinal/svgs/filebe7350b50577.svg,6
smallfriends-eff2-rev-m-12-rep-9.csv,M3 v M1,1,smallfriends-eff2-rev,12,9,Lineup-Images/ForExperimentFinal/svgs/filebe737cc07d00.svg,5
smallfriends-eff2-rev-m-12-rep-12.csv,M3 v M1,2,smallfriends-eff2-rev,12,12,Lineup-Images/ForExperimentFinal/svgs/filebe7317a82eb0.svg,12
smallfriends-eff2-rev-m-12-rep-17.csv,M3 v M1,3,smallfriends-eff2-rev,12,17,Lineup-Images/ForExperimentFinal/svgs/filebe7331119419.svg,1
smallfriends-eff2-rev-m-12-rep-8.csv,M3 v M1,4,smallfriends-eff2-rev,12,8,Lineup-Images/ForExperimentFinal/svgs/filebe735601d6ba.svg,2
smallfriends-eff2-rev-m-12-rep-4.csv,M3 v M1,5,smallfriends-eff2-rev,12,4,Lineup-Images/ForExperimentFinal/svgs/filebe734f526e96.svg,1
